Scopus-10-Analyze-Year

"Your query : (TITLE-ABS-KEY(( ""machine learning"" OR ""neural networks"" OR ""deep learning"" OR ""physics-informed neural networks"" ) AND (modeling OR modelling OR model OR simulation) ) AND PUBYEAR > 2009 AND PUBYEAR < 2025)"


Number of results : 10

"YEAR",
"2024","256490"
"2023","198197"
"2022","161234"
"2021","123861"
"2020","91981"
"2019","68845"
"2018","43741"
"2017","29490"
"2016","21016"
"2015","16570"
"2014","15539"
"2013","14377"
"2012","13714"
"2011","13849"
"2010","13245"
