term	frequency
velocity	2027
seismic	1928
inversion	1313
neural	1116
source	889
deep	801
frequency	771
wavefield	623
problem	614
prediction	571
receiver	493
accuracy	474
elastic	441
location	437
propagation	400
geophysic	392
operator	391
solution	384
machine	376
waveform	371
full	361
regression	361
difference	350
geophysical	347
physics	340
acoustic	340
computational	333
initial	326
size	323
likelihood	311
surrogate	299
PINN	298
seismogram	297
structure	292
feature	290
inverse	285
rock	283
order	281
FWI	267
convolutional	261
comparison	260
linear	257
shot	256
depth	253
performance	250
fourier	250
event	247
migration	240
kernel	239
information	238
distribution	238
complex	233
optimization	232
estimation	229
boundary	227
condition	224
automatic	222
architecture	221
surface	217
amplitude	214
subsurface	209
waveform inversion	209
numerical	204
interface	203
earth	202
spatial	198
state	198
density	196
research	195
random	192
FNO	191
differentiation	186
multiple	185
DNN	183
accurate	182
well	181
second	180
fast	180
trace	179
position	177
region	176
signal	176
neural operator	175
coefficient	174
adjoint	171
leakage	167
way	166
part	165
geological	163
correlation	163
gaussian	162
response	162
PDE	161
finite	161
resolution	159
line	158
international	156
imaging	154
dimension	152
science	151
bit	151
new	147
block	145
decoder	144
dimensional	144
seismic inversion	143
range	143
real	142
automatic differentiation	142
encoder	139
computation	138
microseismic	137
exploration	135
relative	134
standard	133
drill	133
reference	132
single	131
channel	131
maximum	128
testing	128
basis	128
meta	128
memory	126
direction	126
RTM	125
scale	125
uncertainty	124
top	124
RNN	124
source location	124
processing	123
geoscience	123
traditional	123
inverse problem	122
mean	122
area	121
series	121
total	120
proxy	118
solid	117
engineering	116
log	116
various	116
approximation	115
addition	114
slope	113
non	112
phase	112
modelling	112
simple	111
local	111
element	109
curve	109
detection	107
conventional	107
earthquake	107
net	107
variation	105
autoencoder	105
tomography	104
mapping	104
respect	104
activation	104
spectral	104
iteration	104
efficiency	103
hessian	103
velocity inversion	103
theory	102
mifno	102
convergence	101
length	101
energy	101
unit	100
layered	100
factor	99
matern	99
map	98
nonlinear	98
able	98
storage	97
arrival	97
multi	96
dynamic	96
scheme	96
sparse	96
EFWI	96
square	95
filter	95
representation	95
fluid	95
bias	95
reflection	94
sampling	94
horizontal	94
average	94
level	94
plane	94
observed	94
index	93
seismic velocity	93
force	92
derivative	92
profile	91
coordinate	91
material	91
generation	90
reconstruction	90
row	90
gather	90
latent	89
form	89
geophy	89
vertical	88
FGA	88
deep neural	87
fault	86
specific	85
displacement	85
direct	84
society	84
interest	83
version	83
pressure	83
dispersion	83
technology	83
boundary condition	82
microseismic event	82
prior	82
full waveform	81
efficient	81
constraint	81
wavenet	81
event location	81
reverse	80
volume	80
bottom	80
offset	79
motion	79
computer	78
pattern	78
MSE	78
estimate	78
correlation coefficient	78
pytorch	78
lapse	78
cross	77
scientific	77
red	77
issue	75
convolution	75
central	75
ratio	74
change	74
tensor	74
challenge	73
characteristic	73
string	73
peak	73
convolutional neural	73
heterogeneous	72
close	72
transform	72
speed	72
future	72
stochastic	71
regularization	71
drilling	71
nature	71
seismic trace	71
detail	70
knowledge	70
advantage	70
pocket	70
generative	70
ard	70
full waveform inversion	69
inference	69
bayesian	68
expensive	68
sensor	68
column	68
complexity	67
ability	67
relationship	67
compression	67
distance	67
additional	67
transfer	67
smooth	67
deviation	66
neuron	66
quadratic	66
SSIM	66
type	65
wavelet	65
right	65
geometry	65
mode	65
predictive	65
quality	64
least	64
pixel	64
control	64
computing	64
survey	64
recurrent	64
geology	63
resource	63
segmentation	63
remote	63
solid earth	63
polynomial	63
hand	62
temporal	62
entire	62
seismic waveform	62
predictor	62
program	61
current	61
fourier feature	61
gof	61
stage	60
requirement	60
dense	60
sensing	60
blue	60
several	59
dominant	59
generalization	59
ensemble	58
approximate	58
solver	58
key	58
norm	58
edge	58
record	58
next	57
proceeding	57
restriction	57
page	56
last	56
target	56
degree	56
confidence	56
interval	56
capability	56
black	56
fcn	56
hydrogennet	56
limited	55
goal	55
standard deviation	55
shear	55
modulus	55
fact	55
abstract	54
minimum	54
background	54
user	54
interpolation	54
outlier	54
aewt	54
aspect	53
decomposition	53
relu	53
signature	53
advance	53
due	53
presence	52
independent	52
supplementary	52
ard matern	52
database	52
amount	51
optimal	51
artificial	51
axial	51
class	51
arbitrary	51
remote sensing	51
utc	51
traveltime	51
interpretation	50
less	50
combination	50
statistical	50
long	50
integral	50
common	50
label	50
potential	49
raw	49
particular	49
mesh	49
unknown	49
review	49
mechanism	49
recent	49
angle	49
strong	49
axis	49
attenuation	49
graph	49
branch	49
tree	49
practical	48
global	48
shallow	48
white	48
covariance	48
surrogate meta	48
source position	47
acquisition	47
discretization	47
difficult	47
geophysicist	47
fourier transform	47
strength	47
song	47
body	47
seismology	47
formulation	46
wavenumber	46
ray	46
packet	46
swinet	46
central receiver	46
oil	45
characterization	45
heterogeneity	45
probability	45
law	45
natural	45
seismic response	45
artifact	45
reconstructed	45
sequence	45
tool	44
intrinsic	44
contribution	44
dependent	44
regression problem	44
eafit	44
eafit user	44
pore	44
overthrust	44
supplementary material	44
left	43
band	43
need	43
seismic propagation	43
normal	43
wide	43
helmholtz	43
recurrent neural	43
predictive accuracy	43
tomogram	43
increase	42
dimensionality	42
whole	42
magnitude	42
parallel	42
great	42
spectrum	42
orientation	42
frequency bias	42
middle	42
bulk	42
seismic velocity inversion	42
art	42
likely	42
GAN	42
context	41
following	41
window	41
equal	41
variance	41
friction	41
realistic	41
pwd	41
purpose	41
hidden	41
inversionnet	41
gas	40
reverse migration	40
mathematical	40
building	40
extension	40
software	40
formation	40
fourier neural	40
challenging	40
diagram	40
spacing	40
early	40
propagator	40
useful	39
contrast	39
end	39
reduction	39
side	39
homogeneous	39
conditional	39
pure	39
third	39
shape	39
fourier neural operator	39
finite difference	39
similarity	39
wise	39
short	39
peak frequency	39
math	39
panel	39
envelope	39
instant	39
seismic imaging	38
instance	38
rmse	38
certain	38
exploration geophysicist	38
near	38
consistent	38
reflectivity	38
primary	38
negative	38
BFGS	38
influence	38
upper	38
pinnslope	38
encoding	38
classification	38
snapshot	38
absolute	38
noiseless	38
observable	38
gsp	38
recognition	37
petroleum	37
sufficient	37
extrapolation	37
year	37
porous	37
spectral element	37
adjoint state	37
feature PINN	37
code	36
score	36
posterior	36
moment	36
adaptive	36
smoothed	36
major	36
subset	36
appl	36
selection	36
sem	36
fluctuation	36
reliable	35
flow	35
saving	35
vibration	35
classical	35
eage	35
csg	35
shale	35
re	35
inversion problem	35
visualization	35
family	35
perturbation	35
seismic record	35
histogram	35
core	35
structural	35
content	34
fine	34
worth	34
seismic source	34
open	34
idea	34
hyperparameter	34
stress	34
choice	34
piece	34
empirical	34
color	34
voxel	34
maximum likelihood	34
excellent	33
relation	33
iterative	33
sum	33
stable	33
equivalent	33
bisq	33
quantitative	33
programming	33
evident	33
fdm	33
template	33
fourier feature PINN	33
deep surrogate	32
quantification	32
isotropic	32
stability	32
transformation	32
schematic	32
limitation	32
torsional	32
oscillation	32
pre	32
license	32
anisotropic	32
rule	32
seismic wavefield	32
initial velocity	32
araya	32
proxy meta	32
quadratic basis	32
probabilistic	31
detailed	31
capable	31
adversarial	31
alternative	31
concept	31
continuous	31
diagonal	31
porosity	31
slice	31
marine	31
statistic	30
publication	30
access	30
downhole	30
path	30
annual	30
local slope	30
shot gather	30
subsequent	30
phy	30
underground	30
velocity prediction	30
elastic propagation	30
gpu	30
star	30
meeting	30
diﬀerentiation	30
conditional autoencoder	30
correct	29
supervised	29
drive	29
theoretical	29
perspective	29
rest	29
fourth	29
CNN	29
receiver location	29
critical	28
complicated	28
discrete	28
recording	28
baseline	28
normalization	28
view	28
bad	28
monitoring	28
seismic waveform inversion	28
attention	28
individual	28
thousand	28
node	28
pair	28
power	28
subject	28
springer	28
inverse hessian	28
parametric	28
eikonal	28
university	28
rapid	28
polo	28
differentiable	28
shrinkage	28
volve	28
decoder deep	27
effectiveness	27
difficulty	27
quantity	27
positive	27
realization	27
mathematic	27
vision	27
intelligence	27
coulomb	27
typical	27
environment	27
snr	27
array	27
enough	27
hyper	27
copyright	27
diﬀerence	27
reflectivity series	27
hydrogen	27
decoder deep surrogate	26
integration	26
success	26
backward	26
heterogeneous velocity	26
seismic tomography	26
physic	26
center	26
phenomenon	26
gap	26
setting	26
scalar	26
seismological	26
universal	26
station	26
representative	26
velocity structure	26
role	26
cpu	26
gaussian packet	26
iou	26
linear basis	26
cog	26
popular	25
principle	25
reasonable	25
lateral	25
mini	25
investigation	25
laboratory	25
word	25
crucial	25
easy	25
precision	25
seismic full	25
velocity region	25
weak	25
prediction accuracy	25
alkhalifah	25
fitting	25
much	25
school	25
rock physics	25
microseismic source	25
redistribution	25
vol	25
numerical solution	25
frozen	25
intensity	25
monte	24
trend	24
literature	24
improvement	24
feature map	24
platform	24
construction	24
chain	24
prospecting	24
interaction	24
respective	24
connection	24
mass	24
gain	24
correspond	24
object	24
formula	24
arxiv	24
usage	24
arrow	24
dip	24
scientific machine	24
transformer	24
velocity building	24
circle	24
boundary saving	24
pad	24
reﬂection	24
idx	24
velocity map	24
uncertainty quantification	23
imaging condition	23
dense block	23
ic	23
initial condition	23
random velocity	23
criterion	23
department	23
impedance	23
experimental	23
far	23
attribute	23
suitable	23
sensitive	23
fundamental	23
petrophysical	23
college	23
generator	23
computational graph	23
adam	23
inverted	23
ebs	23
cycle	23
traditional FWI	23
compressed	23
lapse seismic	23
microseismic event location	23
scatter	23
rpm	23
flexibility	22
flexible	22
uniform	22
search	22
stochastic optimization	22
source signature	22
complete	22
hard	22
practice	22
exhibition	22
frequency wavefield	22
zone	22
elastic full	22
velocity distribution	22
sect	22
box	22
back	22
backpropagation	22
package	22
fair	22
laplacian	22
professor	22
prior knowledge	22
variant	22
clear	22
automatic diﬀerentiation	22
surrogate regression	22
learner	22
velocity tomogram	22
facie	22
carlo	21
essential	21
seismic signal	21
explicit	21
flat	21
determination	21
variability	21
decrease	21
computer vision	21
geophone	21
particle	21
discontinuity	21
impact	21
cybernetic	21
exponential	21
mail	21
computational efficiency	21
pseudo	21
novel	21
optimization problem	21
fit	21
subsection	21
tuning	21
width	21
timestep	21
solution operator	21
artificial neural	21
grant	21
structured	21
support	21
aspect ratio	21
source orientation	21
invlint	21
fidelity	20
library	20
option	20
kernel size	20
run	20
sub	20
agreement	20
shift	20
extensive	20
negligible	20
appendix	20
saturation	20
stack	20
information processing	20
finitedifference	20
PDE solver	20
exploration geophysic	20
geophysical research	20
analytic	20
positional	20
separate	20
seismic exploration	20
discontinuous	20
national	20
illustration	20
decision	20
hybrid	20
variety	20
generative adversarial	20
reprint	20
pressure response	20
template seismic	20
geophysical international	20
relative rmse	20
redistribution subject	20
seg	20
seg license	20
monte carlo	19
loop	19
effort	19
feasible	19
deep convolutional	19
compact	19
notation	19
expression	19
assessment	19
scientific computing	19
mechanic	19
benefit	19
measured	19
comparable	19
moseley	19
applicable	19
raissi	19
minimal	19
spectral bias	19
special	19
rick	19
hidden state	19
research interest	19
span	19
geoenergy	19
pore aspect	19
vup	19
vlow	19
sensitivity	18
demand	18
scalable	18
group	18
wavelength	18
tensorflow	18
coulomb friction	18
device	18
dependence	18
filtering	18
derivation	18
discrepancy	18
neural information	18
deconvolution	18
picking	18
joint	18
poor	18
simplicity	18
rick wavelet	18
correction	18
availability	18
viscoelastic	18
trade	18
latter	18
multiscale	18
thickness	18
collection	18
spatial location	18
title	18
gaussian approximation	18
max	18
starting	18
apparent	18
steep	18
full seismic	18
full elastic	18
polynomial kernel	18
percentile	18
deep inverse	18
deep inverse hessian	18
geoenergy science	18
pore aspect ratio	18
relative frequency	18
relative frequency bias	18
acoustic source	18
arrangement	17
evolution	17
successful	17
decoder architecture	17
transition	17
penalty	17
note	17
technical	17
perdikaris	17
mechanical	17
sectional	17
radiation	17
appropriate	17
mineral	17
drill string	17
slip	17
understanding	17
community	17
shear velocity	17
inclusion	17
kind	17
least square	17
identification	17
importance	17
sandstone	17
infinite	17
link	17
aim	17
trainable	17
denote	17
overview	17
expansion	17
benchmark	17
chain rule	17
travel	17
hour	17
site	17
causal	17
comput	17
seismic reflection	17
conversion	17
unet	17
talk	17
cube	17
pool	17
phase gof	17
elastic aewt	17
seismic processing	16
post	16
unique	16
decay	16
associate	16
covariate	16
string dynamic	16
numerous	16
extended	16
specified	16
angular	16
mismatch	16
green	16
history	16
configuration	16
feed	16
positional encoding	16
newton	16
converge	16
fast convergence	16
foundation	16
intermediate	16
composition	16
poroelasticity	16
int	16
velocity profile	16
invert	16
sen	16
bottleneck	16
projection	16
feedforward	16
date	16
storage requirement	16
crosstalk	16
normal distribution	16
scientiﬁc	16
indicator	16
frozen gaussian	16
frozen gaussian approximation	16
sine	16
transmission	16
module	16
layered velocity	16
graff	16
decision tree	16
regression meta	16
miso	16
dominant instant	16
rrecon	16
uhs	16
aquifer	16
fold	15
frequency content	15
sequential	15
summary	15
compressional	15
possibility	15
confidence index	15
efficacy	15
setup	15
broad	15
prestack	15
geophysical prospecting	15
applied	15
internal	15
editor	15
artificial intelligence	15
rock interaction	15
radiation pattern	15
hyperbolic	15
pipe	15
auto	15
matching	15
dependency	15
engineer	15
improved	15
neural information processing	15
simultaneous	15
delta	15
capacity	15
statement	15
analytical	15
double	15
imaginary	15
identical	15
world	15
explosive	15
correlation length	15
plessix	15
unseen	15
frequency band	15
moment tensor	15
sea	15
lead	15
semantic	15
exact	15
press	15
wavespeed	15
interface problem	15
observed seismic	15
generalisation	15
subnet	15
conv	15
tab	15
situation	14
approximator	14
root	14
meter	14
description	14
adjustment	14
extraction	14
manner	14
acknowledgement	14
acceleration	14
stick	14
sense	14
risk	14
bit source	14
hole	14
offshore	14
threshold	14
inclination	14
spatial coordinate	14
relevant	14
sound	14
mimo	14
sampling interval	14
seismic survey	14
smoother	14
elastic full waveform	14
functional	14
convenience	14
royal	14
quasi	14
subplot	14
project	14
geological structure	14
progress	14
compute	14
manuscript	14
ronneberger	14
memory usage	14
nvidia	14
subpanel	14
discovery	14
medical	14
ray path	14
member	14
zero	14
speech	14
substructure	14
incidence	14
refraction	14
dropout	14
cluster	14
tesla	14
additive	14
measure	14
lens	14
systemic	14
informatic	14
former	14
graphical	14
injection	14
forrester	14
bayesian inference	14
polynomial regression	14
rsi	14
ridx	14
elastic net	14
triangular	14
seismic FWI	14
clay	14
mifno prediction	14
interface depth	14
mala	14
inherent	13
interior	13
neural architecture	13
sedimentary	13
basin	13
letter	13
hamiltonian	13
ordinary	13
behavior	13
cut	13
evidence	13
delay	13
human	13
acknowledgment	13
advanced	13
memory requirement	13
spatial sampling	13
multiple frequency	13
irregular	13
half	13
wavefield solution	13
conflict	13
digital	13
black line	13
causality	13
shaped	13
integral operator	13
narrow	13
astronomical	13
biomedical	13
pure automatic	13
absorbing	13
production	13
applicability	13
incident	13
bar	13
event detection	13
shandong	13
