"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"9EUXS6NX","journalArticle","2021","Rasht‐Behesht, Majid; Huber, Christian; Shukla, Khemraj; Karniadakis, George","Physics-Informed Neural Networks (PINNs) for Wave Propagation and Full Waveform Inversions","","","","10.1002/essoar.10507871.1","https://doi.org/10.1002/essoar.10507871.1","We propose a new approach to the solution of the wave propagation and full waveform inversions (FWIs) based on a recent advance in deep learning called Physics-Informed Neural Networks (PINNs).In this study, we present an algorithm for PINNs applied to the acoustic wave equation and test the model with both forward wave propagation and FWIs case studies.These synthetic case studies are designed to explore the ability of PINNs to handle varying degrees of structural complexity using both teleseismic plane waves and seismic point sources.PINNs' meshless formalism allows for a flexible implementation of the wave equation and different types of boundary conditions.For instance, our models demonstrate that PINN automatically satisfies absorbing boundary conditions, a serious computational challenge for common wave propagation solvers.Furthermore, a priori knowledge of the subsurface structure can be seamlessly encoded in PINNs' formulation.We find that the current state-of-the-art PINNs provide good results for the forward model, even though spectral element or finite difference methods are more efficient and accurate.More importantly, our results demonstrate that PINNs yield excellent results for inversions on all cases considered and with limited computational complexity.Using PINNs as a geophysical inversion solver offers exciting perspectives, not only for the full waveform seismic inversions, but also when dealing with other geophysical datasets (e.g., magnetotellurics, gravity) as well as joint inversions because of its robust framework and simple implementation.","2021-09-01","2024-09-04 21:18:43","2024-09-04 22:26:01","","","","","","","","","","","","","","","en","","","","","","","Preprint - 19 - duplicated","","","","Distributed Acoustic Sensing; Full-Waveform Tomography; Seismic Waveform Inversion; Solver; Wave Equation Migration","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BA5MN328","journalArticle","2022","Thrastarson, Sölvi; van Herwaarden, Dirk‐Philip; Krischer, Lion; Fichtner, Andreas","LASIF: LArge-scale Seismic Inversion Framework, an updated version","EarthArXiv (California Digital Library)","","","10.31223/x5nc84","https://doi.org/10.31223/x5nc84","Recent methodological advances and increases in computational power have made it feasible to perform full-waveform inversions (FWI) of large domains while using more sources. This trend, along with the increasing availability of seismic data has led to an explosion of the data volumes that can, and should, be used within an inversion. Similar to machine learning problems, the incorporation of more data can result in more robust and higher quality models. In this contribution, we present the new version of LASIF, an open-source LArge-scale Seismic Inversion Framework, which helps to automate many of the historically labor-intensive tasks that were bottlenecks in earlier FWI workflows and prevented the use of the larger datasets. Among other things, the framework automates data selection, data acquisition from public web services, and data processing. It also defines an inversion project structure that organizes the data and documents the progress of the inversion. The code is open-source and available on Github. Features are available through a graphical user interface (GUI), a command-line interface (CLI), and an application programming interface (API). While we will show examples for use of LASIF with the Salvus wave equation solver, the API makes it possible to use the features of LASIF for any type of wave equation solver as long as the LASIF file formats are adhered to.","2022-03-13","2024-09-04 21:18:43","2024-09-04 21:40:44","","","","","","","","","","","","","","","en","","","","","","","Preprint - 17","","","","Graphical user interface; Microseismic Monitoring; Seismic Data Processing; Seismic Waveform Inversion; Solver","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CHACGV54","journalArticle","2023","Lehmann, Fanny; Gatti, Filippo; Bertin, Michaël; Clouteau, Didier","Fourier Neural Operator Surrogate Model to Predict 3D Seismic Waves Propagation","HAL (Le Centre pour la Communication Scientifique Directe)","","","10.7712/120223.10339.20362","https://doi.org/10.7712/120223.10339.20362","With the recent rise of neural operators, scientific machine learning offers new solutions to quantify uncertainties associated with high-fidelity numerical simulations. Traditional neural networks, such as Convolutional Neural Networks (CNN) or Physics-Informed Neural Networks (PINN), are restricted to the prediction of solutions in a predefined configuration. With neural operators, one can learn the general solution of Partial Differential Equations, such as the elastic wave equation, with varying parameters. There have been very few applications of neural operators in seismology. All of them were limited to two-dimensional settings, although the importance of three-dimensional (3D) effects is well known. In this work, we apply the Fourier Neural Operator (FNO) to predict ground motion time series from a 3D geological description. We used a high-fidelity simulation code, SEM3D, to build an extensive database of ground motions generated by 30,000 different geologies. With this database, we show that the FNO can produce accurate ground motion even when the underlying geology exhibits large heterogeneities. Intensity measures at moderate and large periods are especially well reproduced. We present the first seismological application of Fourier Neural Operators in 3D. Thanks to the generalizability of our database, we believe that our model can be used to assess the influence of geological features such as sedimentary basins on ground motion, which is paramount to evaluating site effects.","2023-04-20","2024-09-04 21:18:43","2024-09-04 21:59:07","","","","","","","","","","","","","","","en","","","","","","","Preprint - 14 - duplicated","","","","Operator (biology); Real-Time Seismology; Seismic Data Processing; Seismic Noise; Seismic Phase Picking","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WSNMGALF","journalArticle","2018","Yu, Siwei; Ma, Jianwei","Deep learning for denoising","International Geophysical Conference, Beijing, China, 24-27 April 2018","","","10.1190/igc2018-113","https://doi.org/10.1190/igc2018-113","","2018-12-11","2024-09-04 21:18:43","2024-09-04 21:54:52","","","","","","","","","","","","","","","en","","","","","","","Preprint - 8 - duplicated","","","","Deep Learning; Distributed Acoustic Sensing; Image Denoising; Seismic Data Processing; Seismic Noise; Stochastic gradient descent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2E3CHKIM","journalArticle","2022","Li, Bian; Wang, Hanchen; Xiu, Yang; Lin, Youzuo","Solving Seismic Wave Equations on Variable Velocity Models With Fourier Neural Operator","arXiv (Cornell University)","","","10.48550/arxiv.2209.12340","https://doi.org/10.48550/arxiv.2209.12340","In the study of subsurface seismic imaging, solving the acoustic wave equation is a pivotal component in existing models. The advancement of deep learning enables solving partial differential equations, including wave equations, by applying neural networks to identify the mapping between the inputs and the solution. This approach can be faster than traditional numerical methods when numerous instances are to be solved. Previous works that concentrate on solving the wave equation by neural networks consider either a single velocity model or multiple simple velocity models, which is restricted in practice. Instead, inspired by the idea of operator learning, this work leverages the Fourier neural operator (FNO) to effectively learn the frequency domain seismic wavefields under the context of variable velocity models. We also propose a new framework paralleled Fourier neural operator (PFNO) for efficiently training the FNO-based solver given multiple source locations and frequencies. Numerical experiments demonstrate the high accuracy of both FNO and PFNO with complicated velocity models in the OpenFWI datasets. Furthermore, the cross-dataset generalization test verifies that PFNO adapts to out-of-distribution velocity models. Moreover, PFNO has robust performance in the presence of random noise in the labels. Finally, PFNO admits higher computational efficiency on large-scale testing datasets than the traditional finite-difference method. The aforementioned advantages endow the FNO-based solver with the potential to build powerful models for research on seismic waves.","2022-01-01","2024-09-04 21:18:43","2024-09-04 22:35:09","","","","","","","","","","","","","","","en","","","","","","","Preprint - 28 - duplicated","","","","Ambient Seismic; Operator (biology); Seismic Data Processing; Seismic Noise; Seismic Waveform Inversion; Solver; Wave Equation Migration","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y3MHNHFN","journalArticle","2018","Hateley, James; Bin Oh, Sung; Mylonakis, Kyle; Yang, Xu","Deep Learning Seismic Substructure Detection using the Frozen Gaussian Approximation","arXiv (Cornell University)","","","10.48550/arxiv.1810.06610","https://doi.org/10.48550/arxiv.1810.06610","We propose a deep learning algorithm for seismic interface and pocket detection with neural networks trained by synthetic high-frequency displacement data efficiently generated by the frozen Gaussian approximation (FGA). In seismic imaging high-frequency data is advantageous since it can provide high resolution of substructures. However, generation of sufficient synthetic high-frequency data sets for training neural networks is computationally challenging. This bottleneck is overcome by a highly scalable computational platform built upon the FGA, which comes from the semiclassical theory and approximates the wavefields by a sum of fixed-width (frozen) Gaussian wave packets. Data is generated from a forward simulation of the elastic wave equation using the FGA. This data contains accurate traveltime information (from the ray path) but not exact amplitude information (with asymptotic errors not shrinking to zero even at extremely fine numerical resolution). Using this data we build convolutional neural network models using an open source API, GeoSeg, developed using Keras and Tensorflow. On a simple model, networks, despite only being trained on FGA data, can detect an interface with a high success rate from displacement data generated by the spectral element method. Benchmark tests are done for P-waves (acoustic) and P- and S-waves (elastic) generated using the FGA and a spectral element method. Further, results with a high accuracy are shown for more complicated geometries including a three layered model, and a 2D-pocket model where the neural networks trained by both clean and noisy data.","2018-01-01","2024-09-04 21:18:43","2024-09-04 21:40:14","","","","","","","","","","","","","","","en","","","","","","","Preprint - 10","","","","Distributed Acoustic Sensing; Earthquake Detection; Real-Time Seismology; Seismic Data Processing; Seismic Phase Picking; Substructure; Synthetic data","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"48A3ISW8","journalArticle","2018","Mosser, Lukas; Dubrule, Olivier; Blunt, Martin","Stochastic Seismic Waveform Inversion Using Generative Adversarial Networks as a Geological Prior","arXiv (Cornell University)","","","","","","2018-06-10","2024-09-04 21:18:43","2024-09-04 22:35:50","","","","","","","","","","","","","","","en","","","","","","","Preprint - 30 - duplicated","","","","Generative model; Geoacoustic Inversion; Geophysical Inversion; Petrophysics; Seismic Data Processing; Seismic Waveform Inversion; Wave Equation Migration","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ICWC4J9S","journalArticle","2022","Wu, Yanqi; Aghamiry, Hossein; Operto, S.; Ma, Jianwei","Wave simulation in non-smooth media by PINN with quadratic neural network and PML condition","arXiv (Cornell University)","","","10.48550/arxiv.2208.08276","https://doi.org/10.48550/arxiv.2208.08276","Frequency-domain simulation of seismic waves plays an important role in seismic inversion, but it remains challenging in large models. The recently proposed physics-informed neural network (PINN), as an effective deep learning method, has achieved successful applications in solving a wide range of partial differential equations (PDEs), and there is still room for improvement on this front. For example, PINN can lead to inaccurate solutions when PDE coefficients are non-smooth and describe structurally-complex media. In this paper, we solve the acoustic and visco-acoustic scattered-field wave equation in the frequency domain with PINN instead of the wave equation to remove source singularity. We first illustrate that non-smooth velocity models lead to inaccurate wavefields when no boundary conditions are implemented in the loss function. Then, we add the perfectly matched layer (PML) conditions in the loss function of PINN and design a quadratic neural network to overcome the detrimental effects of non-smooth models in PINN. We show that PML and quadratic neurons improve the results as well as attenuation and discuss the reason for this improvement. We also illustrate that a network trained during a wavefield simulation can be used to pre-train the neural network of another wavefield simulation after PDE-coefficient alteration and improve the convergence speed accordingly. This pre-training strategy should find application in iterative full waveform inversion (FWI) and time-lag target-oriented imaging when the model perturbation between two consecutive iterations or two consecutive experiments can be small.","2022-01-01","2024-09-04 21:18:43","2024-09-04 21:41:36","","","","","","","","","","","","","","","en","","","","","","","Preprint - 31","","","","Acoustic wave equation; Distributed Acoustic Sensing; Perfectly matched layer; Seismic Data Processing; Seismic Phase Picking; Seismic Waveform Inversion; Wave Equation Migration","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UDJREPFP","journalArticle","2019","Chen, Yuqing; Schuster, Gerard","Seismic inversion by Newtonian machine learning","arXiv (Cornell University)","","","10.48550/arxiv.1904.10936","https://doi.org/10.48550/arxiv.1904.10936","We present a wave-equation inversion method that inverts skeletonized data for the subsurface velocity model. The skeletonized representation of the seismic traces consists of the low-rank latent-space variables predicted by a well-trained autoencoder neural network. The input to the autoencoder is the recorded common shot gathers, and the implicit function theorem is used to determine the perturbation of the skeletonized data with respect to the velocity perturbation. The final velocity model is the one that best predicts the observed latent-space parameters. Empirical results suggest that the cycle-skipping problem is largely mitigated compared to the conventional full waveform inversion (FWI) method by replacing the waveform differences by those of the latent-space parameters. The advantage of this method over other skeletonized data methods is that no manual picking of important features is required because the skeletal data are automatically selected by the autoencoder. The most significant contribution of this paper is that it provides a general framework for using solutions to the governing PDE to invert skeletal data generated by any type of a neural network. The governing equation can be that for gravity, seismic waves, electromagnetic fields, and magnetic fields. The input data can be the records from different types of data and their skeletal features, as long as the model parameters are sensitive to their perturbations. The skeletal data can be the latent space variables of an autoencoder, a variational autoencoder, or a feature map from a convolutional neural network (CNN), or principal component analysis (PCA) features. In other words, we have combined the best features of Newtonian physics and the pattern matching capabilities of machine learning to invert seismic data by Newtonian machine learning.","2019-01-01","2024-09-04 21:18:43","2024-09-04 22:31:31","","","","","","","","","","","","","","","en","","","","","","","Preprint - 25 - duplicated","","","","Autoencoder; Real-Time Seismology; Seismic Data Processing; Seismic Phase Picking; Seismic Waveform Inversion; Wave Equation Migration","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UYW23H38","journalArticle","2023","Louboutin, Mathias; Yin, Ziyi; Orozco, Rafael; Grady, Thomas; Siahkoohi, Ali; Rizzuti, Gabrio; Witte, Philipp; Møyner, Olav; Gorman, Gerard; Herrmann, Felix","Learned multiphysics inversion with differentiable programming and machine learning","arXiv (Cornell University)","","","10.48550/arxiv.2304.05592","https://doi.org/10.48550/arxiv.2304.05592","We present the Seismic Laboratory for Imaging and Modeling/Monitoring (SLIM) open-source software framework for computational geophysics and, more generally, inverse problems involving the wave-equation (e.g., seismic and medical ultrasound), regularization with learned priors, and learned neural surrogates for multiphase flow simulations. By integrating multiple layers of abstraction, our software is designed to be both readable and scalable. This allows researchers to easily formulate their problems in an abstract fashion while exploiting the latest developments in high-performance computing. We illustrate and demonstrate our design principles and their benefits by means of building a scalable prototype for permeability inversion from time-lapse crosswell seismic data, which aside from coupling of wave physics and multiphase flow, involves machine learning.","2023-01-01","2024-09-04 21:18:43","2024-09-04 21:40:47","","","","","","","","","","","","","","","en","","","","","","","Preprint - 18","","","","Inverse Problems; Multiphase flow; Multiphysics; Real-Time Seismology; Seismic Data Processing; Seismic Phase Picking; Seismic Waveform Inversion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
