"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"T69Y4ZDG","preprint","2024","Ding, Yi; Su, Chen; Miyake, Hiroe; Li, Xiaojun","Physics-Informed Neural Networks with Fourier Features for Seismic Wavefield Simulation in Time-Domain Nonsmooth Complex Media","","","","10.2139/ssrn.4902158","https://papers.ssrn.com/abstract=4902158","Physics-informed neural networks (PINNs) have great potential for flexibility and effectiveness in forward modeling and inversion of seismic waves. However, coordinate-based neural networks (NNs) commonly suffer from the ""spectral bias"" pathology, which greatly limits their ability to model high-frequency wave propagation in sharp and complex media. We propose a unified framework of Fourier feature physics-informed neural networks (FF-PINNs) for solving the time-domain wave equations. The proposed framework combines the stochastic gradient descent (SGD) strategy with a pre-trained wave velocity surrogate model to mitigate the singularity at the point source. The performance of the activation functions and gradient descent strategies are discussed through ablation experiments. In addition, we evaluate the accuracy comparison of Fourier feature mappings sampled from different families of distributions (Gaussian, Laplace, and uniform). The second-order paraxial approximation-based boundary conditions are incorporated into the loss function as a soft regularizer to eliminate spurious boundary reflections. Through the non-smooth Marmousi and Overthrust model cases, we emphasized the necessity of the absorbing boundary conditions (ABCs) constraints. The results of a series of numerical experiments demonstrate the accuracy and effectiveness of the proposed method for modeling high-frequency wave propagation in sharp and complex media.","2024-07-23","2024-09-04 19:13:59","2024-09-04 19:14:31","2024-09-04 19:13:59","","","","","","","","","","","","","Rochester, NY","en","","SSRN Scholarly Paper","","","Social Science Research Network","","Preprint - 1","","C:\Users\orincon\Zotero\storage\YWC6ZVSP\Ding et al. - 2024 - Physics-Informed Neural Networks with Fourier Feat.pdf","","","Absorbing boundary conditions; Fourier feature neural networks; Physics-informed neural networks; Seismic wave propagation simulation; Spectral bias","","","","","","","","","","","","","","","","","","","4902158","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZX6D5EPD","preprint","2022","Wu, Yanqi; Aghamiry, Hossein S.; Operto, Stephane; Ma, Jianwei","Wave simulation in non-smooth media by PINN with quadratic neural network and PML condition","","","","10.48550/arXiv.2208.08276","http://arxiv.org/abs/2208.08276","Frequency-domain simulation of seismic waves plays an important role in seismic inversion, but it remains challenging in large models. The recently proposed physics-informed neural network (PINN), as an effective deep learning method, has achieved successful applications in solving a wide range of partial differential equations (PDEs), and there is still room for improvement on this front. For example, PINN can lead to inaccurate solutions when PDE coefficients are non-smooth and describe structurally-complex media. In this paper, we solve the acoustic and visco-acoustic scattered-field wave equation in the frequency domain with PINN instead of the wave equation to remove source singularity. We first illustrate that non-smooth velocity models lead to inaccurate wavefields when no boundary conditions are implemented in the loss function. Then, we add the perfectly matched layer (PML) conditions in the loss function of PINN and design a quadratic neural network to overcome the detrimental effects of non-smooth models in PINN. We show that PML and quadratic neurons improve the results as well as attenuation and discuss the reason for this improvement. We also illustrate that a network trained during a wavefield simulation can be used to pre-train the neural network of another wavefield simulation after PDE-coefficient alteration and improve the convergence speed accordingly. This pre-training strategy should find application in iterative full waveform inversion (FWI) and time-lag target-oriented imaging when the model perturbation between two consecutive iterations or two consecutive experiments can be small.","2022-09-27","2024-09-04 19:14:47","2024-09-04 19:15:11","2024-09-04 19:14:47","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","Preprint - 2","","C:\Users\orincon\Zotero\storage\TN3CX3YH\Wu et al. - 2022 - Wave simulation in non-smooth media by PINN with q.pdf; C:\Users\orincon\Zotero\storage\7ADNSU4W\2208.html","","","Computer Science - Machine Learning; Physics - Geophysics","","","","","","","","","","","","","","","","","","","arXiv:2208.08276","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5YJH9RDJ","preprint","2023","Li, Bian; Wang, Hanchen; Feng, Shihang; Yang, Xiu; Lin, Youzuo","Solving Seismic Wave Equations on Variable Velocity Models With Fourier Neural Operator","","","","10.48550/arXiv.2209.12340","http://arxiv.org/abs/2209.12340","In the study of subsurface seismic imaging, solving the acoustic wave equation is a pivotal component in existing models. The advancement of deep learning enables solving partial differential equations, including wave equations, by applying neural networks to identify the mapping between the inputs and the solution. This approach can be faster than traditional numerical methods when numerous instances are to be solved. Previous works that concentrate on solving the wave equation by neural networks consider either a single velocity model or multiple simple velocity models, which is restricted in practice. Instead, inspired by the idea of operator learning, this work leverages the Fourier neural operator (FNO) to effectively learn the frequency domain seismic wavefields under the context of variable velocity models. We also propose a new framework paralleled Fourier neural operator (PFNO) for efficiently training the FNO-based solver given multiple source locations and frequencies. Numerical experiments demonstrate the high accuracy of both FNO and PFNO with complicated velocity models in the OpenFWI datasets. Furthermore, the cross-dataset generalization test verifies that PFNO adapts to out-of-distribution velocity models. Moreover, PFNO has robust performance in the presence of random noise in the labels. Finally, PFNO admits higher computational efficiency on large-scale testing datasets than the traditional finite-difference method. The aforementioned advantages endow the FNO-based solver with the potential to build powerful models for research on seismic waves.","2023-02-19","2024-09-04 19:15:27","2024-09-04 20:18:37","2024-09-04 19:15:27","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","Preprint - 3 - duplicated","","C:\Users\orincon\Zotero\storage\8SSHWVYM\Li et al. - 2023 - Solving Seismic Wave Equations on Variable Velocit.pdf; C:\Users\orincon\Zotero\storage\Q5B7EBFX\2209.html","","","68T07 (Primary) 86-08 (Secondary); Computer Science - Machine Learning; Physics - Geophysics","","","","","","","","","","","","","","","","","","","arXiv:2209.12340","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8HKIAZFN","preprint","2019","Yu, Siwei; Ma, Jianwei; Wang, Wenlong","Deep learning for denoising","","","","10.48550/arXiv.1810.11614","http://arxiv.org/abs/1810.11614","Compared with traditional seismic noise attenuation algorithms that depend on signal models and their corresponding prior assumptions, removing noise with a deep neural network is trained based on a large training set, where the inputs are the raw datasets and the corresponding outputs are the desired clean data. After the completion of training, the deep learning method achieves adaptive denoising with no requirements of (i) accurate modelings of the signal and noise, or (ii) optimal parameters tuning. We call this intelligent denoising. We use a convolutional neural network as the basic tool for deep learning. In random and linear noise attenuation, the training set is generated with artificially added noise. In the multiple attenuation step, the training set is generated with acoustic wave equation. Stochastic gradient descent is used to solve the optimal parameters for the convolutional neural network. The runtime of deep learning on a graphics processing unit for denoising has the same order as the $f-x$ deconvolution method. Synthetic and field results show the potential applications of deep learning in automatic attenuation of random noise (with unknown variance), linear noise, and multiples.","2019-07-19","2024-09-04 19:40:05","2024-09-04 20:01:13","2024-09-04 19:40:05","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","Preprint - 4 - duplicated","","C:\Users\orincon\Zotero\storage\YMW3GZZB\Yu et al. - 2019 - Deep learning for denoising.pdf; C:\Users\orincon\Zotero\storage\GJ2NNGW5\1810.html","","","86A15; Computer Science - Machine Learning; Electrical Engineering and Systems Science - Signal Processing; Physics - Geophysics","","","","","","","","","","","","","","","","","","","arXiv:1810.11614","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KT8E6LST","preprint","2019","Hateley, James C.; Roberts, Jay; Mylonakis, Kyle; Yang, Xu","Deep Learning Seismic Substructure Detection using the Frozen Gaussian Approximation","","","","10.48550/arXiv.1810.06610","http://arxiv.org/abs/1810.06610","We propose a deep learning algorithm for seismic interface and pocket detection with neural networks trained by synthetic high-frequency displacement data efficiently generated by the frozen Gaussian approximation (FGA). In seismic imaging high-frequency data is advantageous since it can provide high resolution of substructures. However, generation of sufficient synthetic high-frequency data sets for training neural networks is computationally challenging. This bottleneck is overcome by a highly scalable computational platform built upon the FGA, which comes from the semiclassical theory and approximates the wavefields by a sum of fixed-width (frozen) Gaussian wave packets. Data is generated from a forward simulation of the elastic wave equation using the FGA. This data contains accurate traveltime information (from the ray path) but not exact amplitude information (with asymptotic errors not shrinking to zero even at extremely fine numerical resolution). Using this data we build convolutional neural network models using an open source API, GeoSeg, developed using Keras and Tensorflow. On a simple model, networks, despite only being trained on FGA data, can detect an interface with a high success rate from displacement data generated by the spectral element method. Benchmark tests are done for P-waves (acoustic) and P- and S-waves (elastic) generated using the FGA and a spectral element method. Further, results with a high accuracy are shown for more complicated geometries including a three layered model, and a 2D-pocket model where the neural networks trained by both clean and noisy data.","2019-11-05","2024-09-04 19:40:51","2024-09-04 19:41:07","2024-09-04 19:40:51","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","Preprint - 5","","C:\Users\orincon\Zotero\storage\JQZW2I87\Hateley et al. - 2019 - Deep Learning Seismic Substructure Detection using.pdf; C:\Users\orincon\Zotero\storage\CWJP9XMP\1810.html","","","Physics - Geophysics","","","","","","","","","","","","","","","","","","","arXiv:1810.06610","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S7DT3HK5","journalArticle","2024","Lehmann, Fanny; Gatti, Filippo; Bertin, Michaël; Clouteau, Didier","Fourier Neural Operator Surrogate Model to Predict 3D Seismic Waves Propagation","Computer Methods in Applied Mechanics and Engineering","","00457825","10.1016/j.cma.2023.116718","http://arxiv.org/abs/2304.10242","With the recent rise of neural operators, scientific machine learning offers new solutions to quantify uncertainties associated with high-fidelity numerical simulations. Traditional neural networks, such as Convolutional Neural Networks (CNN) or Physics-Informed Neural Networks (PINN), are restricted to the prediction of solutions in a predefined configuration. With neural operators, one can learn the general solution of Partial Differential Equations, such as the elastic wave equation, with varying parameters. There have been very few applications of neural operators in seismology. All of them were limited to two-dimensional settings, although the importance of three-dimensional (3D) effects is well known. In this work, we apply the Fourier Neural Operator (FNO) to predict ground motion time series from a 3D geological description. We used a high-fidelity simulation code, SEM3D, to build an extensive database of ground motions generated by 30,000 different geologies. With this database, we show that the FNO can produce accurate ground motion even when the underlying geology exhibits large heterogeneities. Intensity measures at moderate and large periods are especially well reproduced. We present the first seismological application of Fourier Neural Operators in 3D. Thanks to the generalizability of our database, we believe that our model can be used to assess the influence of geological features such as sedimentary basins on ground motion, which is paramount to evaluating site effects.","2024-02","2024-09-04 19:41:16","2024-09-04 20:01:27","2024-09-04 19:41:16","116718","","","420","","Computer Methods in Applied Mechanics and Engineering","","","","","","","","","","","","","arXiv.org","","Preprint - 6 - duplicated","","C:\Users\orincon\Zotero\storage\348RQFFT\Lehmann et al. - 2024 - Fourier Neural Operator Surrogate Model to Predict.pdf; C:\Users\orincon\Zotero\storage\WUUILI3Q\2304.html","","","Computer Science - Machine Learning; Physics - Geophysics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WSQWBJZG","preprint","2018","Mosser, Lukas; Dubrule, Olivier; Blunt, Martin J.","Stochastic Seismic Waveform Inversion Using Generative Adversarial Networks as a Geological Prior","","","","10.48550/arXiv.1806.03720","http://arxiv.org/abs/1806.03720","We present an application of deep generative models in the context of partial-differential equation (PDE) constrained inverse problems. We combine a generative adversarial network (GAN) representing an a priori model that creates subsurface geological structures and their petrophysical properties, with the numerical solution of the PDE governing the propagation of acoustic waves within the earth's interior. We perform Bayesian inversion using an approximate Metropolis-adjusted Langevin algorithm (MALA) to sample from the posterior given seismic observations. Gradients with respect to the model parameters governing the forward problem are obtained by solving the adjoint of the acoustic wave equation. Gradients of the mismatch with respect to the latent variables are obtained by leveraging the differentiable nature of the deep neural network used to represent the generative model. We show that approximate MALA sampling allows efficient Bayesian inversion of model parameters obtained from a prior represented by a deep generative model, obtaining a diverse set of realizations that reflect the observed seismic response.","2018-06-10","2024-09-04 19:41:52","2024-09-04 20:18:56","2024-09-04 19:41:52","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","Preprint - 7 - duplicated","","C:\Users\orincon\Zotero\storage\MNNB2L9Z\Mosser et al. - 2018 - Stochastic seismic waveform inversion using genera.pdf; C:\Users\orincon\Zotero\storage\MNM72MJQ\1806.html","","","Computer Science - Computer Vision and Pattern Recognition; Physics - Geophysics; Statistics - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:1806.03720","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TLNKYX42","preprint","2019","Chen, Yuqing; Schuster, Gerard T.","Seismic inversion by Newtonian machine learning","","","","10.48550/arXiv.1904.10936","http://arxiv.org/abs/1904.10936","We present a wave-equation inversion method that inverts skeletonized data for the subsurface velocity model. The skeletonized representation of the seismic traces consists of the low-rank latent-space variables predicted by a well-trained autoencoder neural network. The input to the autoencoder is the recorded common shot gathers, and the implicit function theorem is used to determine the perturbation of the skeletonized data with respect to the velocity perturbation. The final velocity model is the one that best predicts the observed latent-space parameters. Empirical results suggest that the cycle-skipping problem is largely mitigated compared to the conventional full waveform inversion (FWI) method by replacing the waveform differences by those of the latent-space parameters. The advantage of this method over other skeletonized data methods is that no manual picking of important features is required because the skeletal data are automatically selected by the autoencoder. The most significant contribution of this paper is that it provides a general framework for using solutions to the governing PDE to invert skeletal data generated by any type of a neural network. The governing equation can be that for gravity, seismic waves, electromagnetic fields, and magnetic fields. The input data can be the records from different types of data and their skeletal features, as long as the model parameters are sensitive to their perturbations. The skeletal data can be the latent space variables of an autoencoder, a variational autoencoder, or a feature map from a convolutional neural network (CNN), or principal component analysis (PCA) features. In other words, we have combined the best features of Newtonian physics and the pattern matching capabilities of machine learning to invert seismic data by Newtonian machine learning.","2019-04-24","2024-09-04 19:42:22","2024-09-04 20:03:16","2024-09-04 19:42:22","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","Preprint - 8 - duplicated","","C:\Users\orincon\Zotero\storage\C7TC4KYD\Chen y Schuster - 2019 - Seismic Inversion by Newtonian Machine Learning.pdf; C:\Users\orincon\Zotero\storage\USCSCJJP\1904.html","","","Physics - Computational Physics; Physics - Geophysics","","","","","","","","","","","","","","","","","","","arXiv:1904.10936","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7DW3XKLB","preprint","2023","Brandolin, Francesco; Ravasi, Matteo; Alkhalifah, Tariq","PINNslope: Seismic data interpolation and local slope estimation with physics informed neural networks","","","","10.48550/arXiv.2305.15990","http://arxiv.org/abs/2305.15990","Interpolation of aliased seismic data constitutes a key step in a seismic processing workflow to obtain high quality velocity models and seismic images. Building on the idea of describing seismic wavefields as a superposition of local plane waves, we propose to interpolate seismic data by utilizing a physics informed neural network (PINN). In the proposed framework, two feed-forward neural networks are jointly trained using the local plane wave differential equation as well as the available data as two terms in the objective function: a primary network assisted by positional encoding is tasked with reconstructing the seismic data, whilst an auxiliary, smaller network estimates the associated local slopes. Results on synthetic and field data validate the effectiveness of the proposed method in handling aliased (coarsely sampled) data and data with large gaps. Our method compares favorably against a classic least-squares inversion approach regularized by the local plane-wave equation as well as a PINN-based approach with a single network and pre-computed local slopes. We find that introducing a second network to estimate the local slopes whilst at the same time interpolating the aliased data enhances the overall reconstruction capabilities and convergence behavior of the primary network. Moreover, an additional positional encoding layer embedded as the first layer of the wavefield network confers to the network the ability to converge faster improving the accuracy of the data term.","2023-12-09","2024-09-04 19:43:56","2024-09-04 20:16:15","2024-09-04 19:43:56","","","","","","","PINNslope","","","","","arXiv","","","","","","","arXiv.org","","Preprint - 9 - duplicated","","C:\Users\orincon\Zotero\storage\Y62HTNIW\Brandolin et al. - 2023 - PINNslope seismic data interpolation and local sl.pdf; C:\Users\orincon\Zotero\storage\QLRTU3AN\2305.html","","","Computer Science - Machine Learning; Electrical Engineering and Systems Science - Signal Processing; Physics - Geophysics","","","","","","","","","","","","","","","","","","","arXiv:2305.15990","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AYHBI7LU","preprint","2024","Alfarhan, Mustafa; Ravasi, Matteo; Chen, Fuqiang; Alkhalifah, Tariq","Robust Full Waveform Inversion with deep Hessian deblurring","","","","10.48550/arXiv.2403.17518","http://arxiv.org/abs/2403.17518","Full Waveform Inversion (FWI) is a technique widely used in geophysics to obtain high-resolution subsurface velocity models from waveform seismic data. Due to its large computation cost, most flavors of FWI rely only on the computation of the gradient of the loss function to estimate the update direction, therefore ignoring the contribution of the Hessian. Depending on the level of computational resources one can afford, an approximate of the inverse of the Hessian can be calculated and used to speed up the convergence of FWI towards the global (or a plausible local) minimum. In this work, we propose to use an approximate Hessian computed from a linearization of the wave-equation as commonly done in Least-Squares Migration (LSM). More precisely, we rely on the link between a migrated image and a doubly migrated image (i.e., an image obtained by demigration-migration of the migrated image) to estimate the inverse of the Hessian. However, instead of using non-stationary compact filters to link the two images and approximate the Hessian, we propose to use a deep neural network to directly learn the mapping between the FWI gradient (output) and its Hessian (blurred) counterpart (input). By doing so, the network learns to act as an approximate inverse Hessian: as such, when the trained network is applied to the FWI gradient, an enhanced update direction is obtained, which is shown to be beneficial for the convergence of FWI. The weights of the trained (deblurring) network are then transferred to the next FWI iteration to expedite convergence. We demonstrate the effectiveness of the proposed approach on two synthetic datasets and a field dataset.","2024-03-26","2024-09-04 19:44:37","2024-09-04 19:45:16","2024-09-04 19:44:37","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","Preprint - 10","","C:\Users\orincon\Zotero\storage\GRELKJQF\Alfarhan et al. - 2024 - Robust Full Waveform Inversion with deep Hessian d.pdf; C:\Users\orincon\Zotero\storage\HAASCAUN\2403.html","","","Physics - Geophysics","","","","","","","","","","","","","","","","","","","arXiv:2403.17518","","","","","","","","","","","","","","","","","","","","","","","","","","",""
