Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
4HJHXAY4,journalArticle,2019,"Yu, Siwei; Ma, Jianwei; Wang, Wenlong",Deep learning for denoising,Geophysics,,0016-8033,10.1190/geo2018-0668.1,https://doi.org/10.1190/geo2018-0668.1,,2019-11-01,2024-09-03 21:52:10,2024-09-03 21:52:10,,V333-V350,,6,84.0,,,,,,,,,,en,,,,,,,Publisher: Society of Exploration Geophysicists,,,,Deep Learning; Distributed Acoustic Sensing; Image Denoising; Seismic Noise; Stochastic gradient descent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZIPTLI4,journalArticle,2019,"Mosser, Lukas; Dubrule, Olivier; Blunt, Martin",Stochastic Seismic Waveform Inversion Using Generative Adversarial Networks as a Geological Prior,Mathematical Geosciences,,1874-8953,10.1007/s11004-019-09832-6,https://doi.org/10.1007/s11004-019-09832-6,"Abstract We present an application of deep generative models in the context of partial differential equation constrained inverse problems. We combine a generative adversarial network representing an a priori model that generates geological heterogeneities and their petrophysical properties, with the numerical solution of the partial-differential equation governing the propagation of acoustic waves within the earth’s interior. We perform Bayesian inversion using an approximate Metropolis-adjusted Langevin algorithm to sample from the posterior distribution of earth models given seismic observations. Gradients with respect to the model parameters governing the forward problem are obtained by solving the adjoint of the acoustic wave equation. Gradients of the mismatch with respect to the latent variables are obtained by leveraging the differentiable nature of the deep neural network used to represent the generative model. We show that approximate Metropolis-adjusted Langevin sampling allows an efficient Bayesian inversion of model parameters obtained from a prior represented by a deep generative model, obtaining a diverse set of realizations that reflect the observed seismic response.",2019-11-15,2024-09-03 21:52:10,2024-09-03 21:52:10,,53-79,,1,52.0,,,,,,,,,,en,,,,,,,Publisher: Springer Science+Business Media,,,,Generative model; Geoacoustic Inversion; Inverse Problems; Langevin equation; Petrophysics; Seismic Data Processing; Seismic Waveform Inversion; Wave Equation Migration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATC9P2T8,journalArticle,2022,"Rasht‐Behesht, Majid; Huber, Christian; Shukla, Khemraj; Karniadakis, George",Physics-Informed Neural Networks (PINNs) for Wave Propagation and Full Waveform Inversions,Journal of Geophysical Research Solid Earth,,2169-9313,10.1029/2021jb023120,https://doi.org/10.1029/2021jb023120,"Abstract We propose a new approach to the solution of the wave propagation and full waveform inversions (FWIs) based on a recent advance in deep learning called physics‐informed neural networks (PINNs). In this study, we present an algorithm for PINNs applied to the acoustic wave equation and test the method with both forward models and FWI case studies. These synthetic case studies are designed to explore the ability of PINNs to handle varying degrees of structural complexity using both teleseismic plane waves and seismic point sources. PINNs' meshless formalism allows for a flexible implementation of the wave equation and different types of boundary conditions. For instance, our models demonstrate that PINN automatically satisfies absorbing boundary conditions, a serious computational challenge for common wave propagation solvers. Furthermore, a priori knowledge of the subsurface structure can be seamlessly encoded in PINNs' formulation. We find that the current state‐of‐the‐art PINNs provide good results for the forward model, even though spectral element or finite difference methods are more efficient and accurate. More importantly, our results demonstrate that PINNs yield excellent results for inversions on all cases considered and with limited computational complexity. We discuss the current limitations of the method with complex velocity models as well as strategies to overcome these challenges. Using PINNs as a geophysical inversion solver offers exciting perspectives, not only for the full waveform seismic inversions, but also when dealing with other geophysical datasets (e.g., MT, gravity) as well as joint inversions because of its robust framework and simple implementation.",2022-04-27,2024-09-03 21:52:10,2024-09-04 00:12:45,,,,5,127.0,,,,,,,,,,en,,,,,,,Publisher: Wiley,,,,Distributed Acoustic Sensing; Full-Waveform Tomography; Seismic Waveform Inversion; Wave Equation Migration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q459VMRR,journalArticle,2020,"Ren, Yuxiao; Xu, Xinji; Yang, Senlin; Nie, Lichao; Chen, Yangkang",A Physics-Based Neural-Network Way to Perform Seismic Full Waveform Inversion,IEEE Access,,2169-3536,10.1109/access.2020.2997921,https://doi.org/10.1109/access.2020.2997921,"Seismic full waveform inversion is a common technique that is used in the investigation of subsurface geology. Its classic implementation involves forward modeling of seismic wavefield based on a certain type of wave equation, which reflects the physics nature of subsurface seismic wavefield propagation. However, obtaining a good inversion result using traditional seismic waveform inversion methods usually comes with a high computational cost. Recently, with the emerging popularity of deep learning techniques in various computer vision tasks, deep neural network (DNN) has demonstrated an impressive ability in dealing with complex nonlinear problems, including seismic velocity inversion. Now, extensive efforts have been made in developing a DNN architecture to tackle the problem of seismic velocity inversion, and promising results have been achieved. However, due to the dependence of a labeled dataset, i.e., the barely accessible true velocity model corresponding to real seismic data, the current supervised deep learning inversion framework may suffer from limitations on generalization. One possible solution to mitigate this issue is to impose the governing physics into this kind of purely data-driven method. Thus, following the procedures of traditional seismic full waveform inversion, we propose a seismic waveform inversion network, namely SWINet, based on wave-equation-based forward modeling network cells. By treating the single-shot observation data and its corresponding shot position as training data pairs, the inverted velocity model can be obtained as the trainable network parameters. Moreover, since the proposed seismic waveform inversion method is performed in a neural-network way, its implementation and inversion effect could benefit from some built-in tools in Pytorch, such as automatic differentiation, Adam optimizer and mini-batch strategy, etc. Numerical examples indicate that the SWINet method may possess great potential in resulting a good velocity inversion effect with relatively fast convergence and lower computation cost.",2020-01-01,2024-09-03 21:52:10,2024-09-03 21:52:10,,112266-112277,,,8.0,,,,,,,,,,en,,,,,,,Publisher: Institute of Electrical and Electronics Engineers,,,,Earthquake Detection; Real-Time Seismology; Seismic Data Processing; Seismic Phase Picking; Seismic Waveform Inversion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZMMMQLST,journalArticle,2021,"Song, Chao; Alkhalifah, Tariq; bin Waheed, Umair",A versatile framework to solve the Helmholtz equation using physics-informed neural networks,Geophysical Journal International,,0956-540X,10.1093/gji/ggab434,https://doi.org/10.1093/gji/ggab434,"SUMMARY Solving the wave equation to obtain wavefield solutions is an essential step in illuminating the subsurface using seismic imaging and waveform inversion methods. Here, we utilize a recently introduced machine-learning based framework called physics-informed neural networks (PINNs) to solve the frequency-domain wave equation, which is also referred to as the Helmholtz equation, for isotropic and anisotropic media. Like functions, PINNs are formed by using a fully connected neural network (NN) to provide the wavefield solution at spatial points in the domain of interest, in which the coordinates of the point form the input to the network. We train such a network by backpropagating the misfit in the wave equation for the output wavefield values and their derivatives for many points in the model space. Generally, a hyperbolic tangent activation is used with PINNs, however, we use an adaptive sinusoidal activation function to optimize the training process. Numerical results show that PINNs with adaptive sinusoidal activation functions are able to generate frequency-domain wavefield solutions that satisfy wave equations. We also show the flexibility and versatility of the proposed method for various media, including anisotropy, and for models with strong irregular topography.",2021-10-23,2024-09-03 21:52:10,2024-09-03 21:52:10,,1750-1762,,3,228.0,,,,,,,,,,en,,,,,,,Publisher: Oxford University Press,,,,Acoustic wave equation; Activation function; Helmholtz equation; Helmholtz free energy; Wave Equation Migration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WUMK4GZP,journalArticle,2018,"Wang, Wenlong; Yang, Fangshu; Ma, Jianwei",Velocity model building with a modified fully convolutional network,,,,10.1190/segam2018-2997566.1,https://doi.org/10.1190/segam2018-2997566.1,,2018-08-27,2024-09-03 21:52:10,2024-09-03 21:52:10,,,,,,,,,,,,,,,en,,,,,,,,,,,Real-Time Seismology; Seismic Data Processing; Seismic Waveform Inversion; Wave Equation Migration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHJGNGWJ,journalArticle,2021,"Yang, Yan; Gao, Angela; Castellanos, Jorge; Ross, Zachary; Azizzadenesheli, Kamyar; Clayton, R.",Seismic Wave Propagation and Inversion with Neural Operators,The Seismic Record,,2694-4006,10.1785/0320210026,https://doi.org/10.1785/0320210026,"Abstract Seismic wave propagation forms the basis for most aspects of seismological research, yet solving the wave equation is a major computational burden that inhibits the progress of research. This is exacerbated by the fact that new simulations must be performed whenever the velocity structure or source location is perturbed. Here, we explore a prototype framework for learning general solutions using a recently developed machine learning paradigm called neural operator. A trained neural operator can compute a solution in negligible time for any velocity structure or source location. We develop a scheme to train neural operators on an ensemble of simulations performed with random velocity models and source locations. As neural operators are grid free, it is possible to evaluate solutions on higher resolution velocity models than trained on, providing additional computational efficiency. We illustrate the method with the 2D acoustic wave equation and demonstrate the method’s applicability to seismic tomography, using reverse-mode automatic differentiation to compute gradients of the wavefield with respect to the velocity structure. The developed procedure is nearly an order of magnitude faster than using conventional numerical methods for full waveform inversion.",2021-10-01,2024-09-03 21:52:10,2024-09-03 21:52:10,,126-134,,3,1.0,,,,,,,,,,en,,,,,,,,,,,Acoustic wave equation; Ambient Seismic; Operator (biology); Seismic Data Processing; Seismic Noise; Seismic Waveform Inversion; Wave Equation Migration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAB8VCJR,journalArticle,2020,"Wang, Wenlong; Ma, Jianwei",Velocity model building in a crosswell acquisition geometry with image-trained artificial neural networks,Geophysics,,0016-8033,10.1190/geo2018-0591.1,https://doi.org/10.1190/geo2018-0591.1,,2020-03-01,2024-09-03 21:52:10,2024-09-03 21:52:10,,U31-U46,,2,85.0,,,,,,,,,,en,,,,,,,Publisher: Society of Exploration Geophysicists,,,,Ambient Seismic; Data set; Real-Time Seismology; Seismic Data Processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZWXK68CU,journalArticle,2020,"Chen, Yuqing; Schuster, Gerard",Seismic inversion by Newtonian machine learning,Geophysics,,0016-8033,10.1190/geo2019-0434.1,https://doi.org/10.1190/geo2019-0434.1,"We present a wave-equation inversion method that inverts skeletonized seismic data for the subsurface velocity model. The skeletonized representation of the seismic traces consists of the low-rank latent-space variables predicted by a well-trained autoencoder neural network. The input to the autoencoder consists of seismic traces, and the implicit function theorem is used to determine the Fréchet derivative, i.e., the perturbation of the skeletonized data with respect to the velocity perturbation. The gradient is computed by migrating the shifted observed traces weighted by the skeletonized data residual, and the final velocity model is the one that best predicts the observed latent-space parameters. We denote this as inversion by Newtonian machine learning (NML) because it inverts for the model parameters by combining the forward and backward modeling of Newtonian wave propagation with the dimensional reduction capability of machine learning. Empirical results suggest that inversion by NML can sometimes mitigate the cycle-skipping problem of conventional full-waveform inversion (FWI). Numerical tests with synthetic and field data demonstrate the success of NML inversion in recovering a low-wavenumber approximation to the subsurface velocity model. The advantage of this method over other skeletonized data methods is that no manual picking of important features is required because the skeletal data are automatically selected by the autoencoder. The disadvantage is that the inverted velocity model has less resolution compared with the FWI result, but it can serve as a good initial model for FWI. Our most significant contribution is that we provide a general framework for using wave-equation inversion to invert skeletal data generated by any type of neural network. In other words, we have combined the deterministic modeling of Newtonian physics and the pattern matching capabilities of machine learning to invert seismic data by NML.",2020-06-10,2024-09-03 21:52:10,2024-09-03 21:52:10,,WA185-WA200,,4,85.0,,,,,,,,,,en,,,,,,,Publisher: Society of Exploration Geophysicists,,,,Autoencoder; Inversion; Seismic Data Processing; Seismic Waveform Inversion; Synthetic data; Wave Equation Migration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZKV6K2H4,journalArticle,2021,"Geng, Zhicheng; Zhao, Zeyu; Shi, Yunzhi; Wu, Xinming; Fomel, Sergey; Sen, Mrinal",Deep learning for velocity model building with common-image gather volumes,Geophysical Journal International,,0956-540X,10.1093/gji/ggab385,https://doi.org/10.1093/gji/ggab385,,2021-09-22,2024-09-03 21:52:10,2024-09-03 21:52:10,,1054-1070,,2,228.0,,,,,,,,,,en,,,,,,,Publisher: Oxford University Press,,,,Geomechanical Modeling; Model building; Seismic Data Processing; Seismic velocity; Seismic Waveform Inversion; Synthetic data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
