Category: All categories

Month,TensorFlow: (Worldwide),PyTorch: (Worldwide),JAX: (Worldwide)
2015-01,0,0,0
2015-02,0,0,0
2015-03,0,0,0
2015-04,0,0,0
2015-05,0,0,0
2015-06,0,0,0
2015-07,0,0,0
2015-08,0,0,0
2015-09,0,0,0
2015-10,0,0,0
2015-11,16,0,0
2015-12,6,0,0
2016-01,6,0,0
2016-02,7,0,0
2016-03,9,0,0
2016-04,10,0,0
2016-05,15,0,0
2016-06,15,0,0
2016-07,14,0,0
2016-08,14,0,0
2016-09,18,0,0
2016-10,22,0,0
2016-11,27,0,0
2016-12,30,0,0
2017-01,32,0,0
2017-02,46,0,0
2017-03,51,0,0
2017-04,53,0,0
2017-05,55,0,0
2017-06,59,0,0
2017-07,56,0,0
2017-08,54,0,0
2017-09,56,0,0
2017-10,61,0,0
2017-11,64,2,0
2017-12,63,8,0
2018-01,63,11,0
2018-02,63,12,0
2018-03,73,15,0
2018-04,71,16,0
2018-05,72,18,0
2018-06,66,17,0
2018-07,65,18,0
2018-08,65,19,0
2018-09,64,19,0
2018-10,69,24,0
2018-11,68,26,0
2018-12,57,24,0
2019-01,59,23,0
2019-02,62,26,0
2019-03,68,29,0
2019-04,67,31,0
2019-05,61,28,0
2019-06,61,30,0
2019-07,64,33,0
2019-08,56,32,0
2019-09,59,31,0
2019-10,62,33,0
2019-11,60,38,0
2019-12,53,33,0
2020-01,51,30,0
2020-02,57,37,0
2020-03,54,37,0
2020-04,55,39,0
2020-05,56,40,0
2020-06,56,41,0
2020-07,59,44,0
2020-08,50,41,0
2020-09,49,38,0
2020-10,41,31,0
2020-11,40,35,0
2020-12,39,31,0
2021-01,36,29,0
2021-02,37,30,0
2021-03,38,35,0
2021-04,38,38,0
2021-05,38,36,0
2021-06,38,35,0
2021-07,36,34,0
2021-08,33,32,0
2021-09,35,34,0
2021-10,36,38,0
2021-11,38,42,0
2021-12,36,39,0
2022-01,45,47,0
2022-02,54,57,0
2022-03,67,65,0
2022-04,64,70,0
2022-05,63,61,0
2022-06,60,59,0
2022-07,50,55,<1
2022-08,48,52,<1
2022-09,51,53,<1
2022-10,51,56,1
2022-11,53,57,1
2022-12,48,56,1
2023-01,48,54,1
2023-02,56,66,1
2023-03,55,71,1
2023-04,54,67,<1
2023-05,53,63,<1
2023-06,49,66,<1
2023-07,46,79,<1
2023-08,44,88,<1
2023-09,42,82,<1
2023-10,44,90,<1
2023-11,47,92,<1
2023-12,41,79,1
2024-01,41,81,1
2024-02,45,89,2
2024-03,51,94,5
2024-04,47,100,5
2024-05,48,90,4
2024-06,40,80,5
2024-07,38,85,4
2024-08,35,77,5
2024-09,34,76,5
2024-10,36,79,6
2024-11,37,84,5
2024-12,33,77,4
