"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"JCY2L3J7","journalArticle","2022","Vadyala, Shashank Reddy; Betgeri, Sai Nethra; Matthews, John C.; Matthews, Elizabeth","A review of physics-based machine learning in civil engineering","Results in Engineering","","2590-1230","10.1016/j.rineng.2021.100316","https://www.sciencedirect.com/science/article/pii/S2590123021001171","The recent development of machine learning (ML) and Deep Learning (DL) increases the opportunities in all the sectors. ML is a significant tool that can be applied across many disciplines, but its direct application to civil engineering problems can be challenging. ML for civil engineering applications that are simulated in the lab often fail in real-world tests. This is usually attributed to a data mismatch between the data used to train and test the ML model and the data it encounters in the real world, a phenomenon known as data shift. However, a physics-based ML model integrates data, partial differential equations (PDEs), and mathematical models to solve data shift problems. Physics-based ML models are trained to solve supervised learning tasks while respecting any given laws of physics described by general nonlinear equations. Physics-based ML, which takes center stage across many science disciplines, plays an important role in fluid dynamics, quantum mechanics, computational resources, and data storage. This paper reviews the history of physics-based ML and its application in civil engineering.","2022-03-01","2024-02-22 21:18:32","2024-02-22 21:18:32","2024-02-19 17:48:20","100316","","","13","","Results in Engineering","","","","","","","","","","","","","ScienceDirect","","","","C:\Users\orincon\Zotero\storage\92SPAILV\S2590123021001171.html; C:\Users\orincon\Zotero\storage\G8U9TL5E\Vadyala et al. - 2022 - A review of physics-based machine learning in civi.pdf","","","Civil engineering; Deep neural network; Machine learning; Physics-based machine learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SMULLTL3","journalArticle","2023","Deng, Weikun; Nguyen, Khanh T. P.; Medjaher, Kamal; Gogu, Christian; Morio, Jérôme","Physics-informed machine learning in prognostics and health management: State of the art and challenges","Applied Mathematical Modelling","","0307-904X","10.1016/j.apm.2023.07.011","https://www.sciencedirect.com/science/article/pii/S0307904X23003086","Prognostics and health management (PHM) plays a constructive role in the equipment’s entire life health service. It has long benefited from intensive research into physics modeling and machine learning methods. However, in practice, the existing solutions often encounter difficulties caused by sparse data & incomplete system failure knowledge. Pure machine learning or physics-based methods can sometimes be infeasible in such situations. As a result, there has been a growing interest in developing physics-informed machine learning (PIML) models which allow incorporating different forms of physics knowledge at different positions of the machine learning pipeline. This combination provides significant assistance for detection, diagnostic, and prognostics. However, to the best of our knowledge, the bibliometrics analyses and the comprehensive review of the existing research concerning PIML in PHM remain vacant. Our review is therefore dedicated to filling these gaps. We synthesize the concept of PIML in PHM, and propose a taxonomy of PIML approaches from the perspective of “Expression forms of informed knowledge” and “Knowledge informed methods”. The findings and discussions presented in this paper enable us to clarify the current state of the art and the emerging opportunities of PIML approaches, especially for building PHM systems that can work under the “small data and scarce physics knowledge” paradigm.","2023-12-01","2024-02-22 21:18:18","2024-02-22 21:18:18","2024-02-19 17:57:54","325-352","","","124","","Applied Mathematical Modelling","Physics-informed machine learning in prognostics and health management","","","","","","","","","","","","ScienceDirect","","","","C:\Users\orincon\Zotero\storage\KWUJ2MBG\1-s2.0-S0307904X23003086-main.pdf; C:\Users\orincon\Zotero\storage\ALY9JBHI\Exported Items.bib; C:\Users\orincon\Zotero\storage\YA2H5WZN\S0307904X23003086.html","","","Knowledge; Physics-constraint learning; Physics-embedded algorithm structure; Physics-informed input space; Physics-informed machine learning; Prognostics and health management","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BALGRH6Z","journalArticle","2023","Lino, Mario; Fotiadis, Stathi; Bharath, Anil A.; Cantwell, Chris D.","Current and emerging deep-learning methods for the simulation of fluid dynamics","Proceedings of the Royal Society A: Mathematical, Physical and Engineering Sciences","","","10.1098/rspa.2023.0058","https://royalsocietypublishing.org/doi/full/10.1098/rspa.2023.0058","Over the last decade, deep learning (DL), a branch of machine learning, has experienced rapid progress. Powerful tools for tasks that have been traditionally complex to automate have been developed, such as image synthesis and natural language processing. In the context of simulating fluid dynamics, this has led to a series of novel DL methods for replacing or augmenting conventional numerical solvers. We broadly classify these methods into physics- and data-driven methods. Physics-driven methods, generally, tune a DL model to provide an analytical and differentiable solution to a given fluid dynamics problem by minimizing the residuals of the governing partial differential equations. Data-driven methods provide a fast and approximate solution to any fluid dynamics problem that shares some physical properties with the observations used when tuning the DL model’s parameters. Meanwhile, the symbiosis of numerical solvers and DL has led to promising results in turbulence modelling and accelerating iterative solvers. However, these methods present some challenges. Exclusively data-driven flow simulators often suffer from poor extrapolation, error accumulation in time-dependent simulations, as well as difficulties in training against turbulent flows. Substantial effort is, therefore, being invested into approaches that may improve the current state of the art.","2023-07-19","2024-02-22 21:17:55","2024-02-22 21:17:55","2024-02-19 04:51:20","20230058","","2275","479","","","","","","","","","","","","","","","royalsocietypublishing.org (Atypon)","","Publisher: Royal Society","","C:\Users\orincon\Zotero\storage\YECXYB3L\Lino et al. - 2023 - Current and emerging deep-learning methods for the.pdf","","","computational fluid dynamics; data-driven fluid dynamics; deep learning; deep neural networks; physics-informed neural networks; turbulence modelling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RU3R3HRY","journalArticle","2022","Cuomo, Salvatore; Di Cola, Vincenzo Schiano; Giampaolo, Fabio; Rozza, Gianluigi; Raissi, Maziar; Piccialli, Francesco","Scientific Machine Learning Through Physics–Informed Neural Networks: Where we are and What’s Next","Journal of Scientific Computing","","1573-7691","10.1007/s10915-022-01939-z","https://doi.org/10.1007/s10915-022-01939-z","Physics-Informed Neural Networks (PINN) are neural networks (NNs) that encode model equations, like Partial Differential Equations (PDE), as a component of the neural network itself. PINNs are nowadays used to solve PDEs, fractional equations, integral-differential equations, and stochastic PDEs. This novel methodology has arisen as a multi-task learning framework in which a NN must fit observed data while reducing a PDE residual. This article provides a comprehensive review of the literature on PINNs: while the primary goal of the study was to characterize these networks and their related advantages and disadvantages. The review also attempts to incorporate publications on a broader range of collocation-based physics informed neural networks, which stars form the vanilla PINN, as well as many other variants, such as physics-constrained neural networks (PCNN), variational hp-VPINN, and conservative PINN (CPINN). The study indicates that most research has focused on customizing the PINN through different activation functions, gradient optimization techniques, neural network structures, and loss function structures. Despite the wide range of applications for which PINNs have been used, by demonstrating their ability to be more feasible in some contexts than classical numerical techniques like Finite Element Method (FEM), advancements are still possible, most notably theoretical issues that remain unresolved.","2022-07-26","2024-02-20 14:45:34","2024-02-20 14:45:34","2024-02-19 02:36:00","88","","3","92","","J Sci Comput","Scientific Machine Learning Through Physics–Informed Neural Networks","","","","","","","en","","","","","Springer Link","","","","C:\Users\orincon\Zotero\storage\9NPYZ9YY\Exported Items.bib; C:\Users\orincon\Zotero\storage\WIY34KG2\Cuomo et al. - 2022 - Scientific Machine Learning Through Physics–Inform.pdf","","","Deep Neural Networks; Nonlinear equations; Numerical methods; Partial Differential Equations; Physics–Informed Neural Networks; Scientific Machine Learning; Uncertainty","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2YIRTWHT","journalArticle","2011","Virieux, Jean; Calandra, Henri; Plessix, René-Édouard","A review of the spectral, pseudo‐spectral, finite‐difference and finite‐element modelling techniques for geophysical imaging","Geophysical Prospecting","","1365-2478","10.1111/j.1365-2478.2011.00967.x","https://www.earthdoc.org/content/journals/10.1111/j.1365-2478.2011.00967.x","ABSTRACT Modelling methods are nowadays at the heart of any geophysical interpretation approach. These are heavily relied upon by imaging techniques in elastodynamics and electromagnetism, where they are crucial for the extraction of subsurface characteristics from ever larger and denser datasets. While high‐frequency or one‐way approximations are very powerful and efficient, they reach their limits when complex geological settings and solutions of full equations are required at finite frequencies. A review of three important formulations is carried out here: the spectral method, which is very efficient and accurate but generally restricted to simple earth structures and often layered earth structures; the pseudo‐spectral, finite‐difference and finite‐volume methods based on strong formulation of the partial differential equations, which are easy to implement and currently represent a good compromise between accuracy, efficiency and flexibility and the continuous or discontinuous Galerkin finite‐element methods that are based on the weak formulation, which lead to more accurate earth representations and therefore to more accurate solutions, although with higher computational costs and more complex use. The choice between these different approaches is still difficult and depends on the applications. Guidelines are given here through discussion of the requirements for imaging/inversion.","2011-08-22","2024-02-19 05:38:06","2024-02-19 05:38:06","2024-02-19 05:38:06","794-813","","Modelling Methods for Geophysical Imaging: Trends and Perspectives","59","","","","","","","","","","en","","","","","www.earthdoc.org","","Publisher: European Association of Geoscientists & Engineers","","C:\Users\orincon\Zotero\storage\CV38FFXH\j.1365-2478.2011.00967.html; C:\Users\orincon\Zotero\storage\MD6VYIUD\Virieux et al. - 2011 - A review of the spectral, pseudo‐spectral, finite‐.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P2T7QXF2","journalArticle","2007","Moczo, Peter; Robertsson, Johan O.A.; Eisner, Leo","The Finite-Difference Time-Domain Method for Modeling of Seismic Wave Propagation","Advances in Geophysics","","0120188503","10.1016/S0065-2687(06)48008-0","","We present a review of the recent development in finite-difference time-domain modeling of seismic wave propagation and earthquake motion. The finite-difference method is a robust numerical method applicable to structurally complex media. Due to its relative accuracy and computational efficiency it is the dominant method in modeling earthquake motion and it also is becoming increasingly more important in the seismic industry and for structural modeling. We first introduce basic formulations and properties of the finite-difference schemes including promising recent advances. Then we address important topics as material discontinuities, realistic attenuation, anisotropy, the planar free surface boundary condition, free-surface topography, wavefield excitation (including earthquake source dynamics), non-reflecting boundaries, and memory optimization and parallelization. © 2007 Elsevier Inc. All rights reserved.","2007","2024-02-08 15:50:22","2024-02-08 18:53:39","","421-516","","","48","","","","","","","","","","English","","","","","","","Publisher: Academic Press Inc.","","C:\Users\orincon\Zotero\storage\H28Z6XXG\Moczo et al. - 2007 - The Finite-Difference Time-Domain Method for Model.pdf","","Anisotropy; Attenuation; Earthquake motion; Earthquake source dynamics; Finite-difference method; Forward simulation; Free surface; Non-reflecting boundaries; Numerical modeling; Optimally accurate operators; Review; Seismic waves","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BK565RT2","journalArticle","2020","Seriani, G.; Oliveira, S. P.","Numerical modeling of mechanical wave propagation","Rivista del Nuovo Cimento","","","10.1007/s40766-020-00009-0","","The numerical modeling of mechanical waves is currently a fundamental tool for the study and investigation of their propagation in media with heterogeneous physical properties and/or complex geometry, as, in these cases, analytical methods are usually not applicable. These techniques are used in geophysics (geophysical interpretation, subsoil imaging, development of new methods of exploration), seismology (study of earthquakes, regional and global seismology, accurate calculation of synthetic seismograms), in the development of new methods for ultrasonic diagnostics in materials science (non-destructive methods) and medicine (acoustic tomography). In this paper we present a review of numerical methods that have been developed and are currently used. In particular we review the key concepts and pioneering ideas behind finite-difference methods, pseudospectral methods, finite-volume methods, Galerkin continuous and discontinuous finite-element methods (classical or based on spectral interpolation), and still others such as physics-compatible, and multiscale methods. We focus on their formulations in time domain along with the main temporal discretization schemes. We present the theory and implementation for some of these methods. Moreover, their computational characteristics are evaluated in order to aid the choice of the method for each practical situation.","2020-09","2024-02-08 15:31:56","2024-02-08 18:52:06","","459-514","","9","43","","","","","","","","","","English","","","","","","","Publisher: Springer Science and Business Media Deutschland GmbH","","C:\Users\orincon\Zotero\storage\6UH38UZD\Seriani and Oliveira - 2020 - Numerical modeling of mechanical wave propagation.pdf","","Forward simulation; Review","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2DKZMI7Q","book","2017","Igel, Heiner","Computational seismology: a practical introduction","","","","","","","2017","2024-01-30 23:04:14","2024-01-30 23:04:14","","","","","","","","","","","","","Oxford University Press","","","","","","","","","","","C:\Users\orincon\Zotero\storage\MXUEVWRV\Igel - 2017 - Computational seismology a practical introduction.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EB8QMR4Y","journalArticle","1999","Komatitsch, Dimitri; Tromp, Jeroen","Introduction to the spectral element method for three-dimensional seismic wave propagation","Geophysical Journal International","","0956-540X","10.1046/j.1365-246x.1999.00967.x","https://doi.org/10.1046/j.1365-246x.1999.00967.x","We present an introduction to the spectral element method, which provides an innovative numerical approach to the calculation of synthetic seismograms in 3-D earth models. The method combines the flexibility of a finite element method with the accuracy of a spectral method. One uses a weak formulation of the equations of motion, which are solved on a mesh of hexahedral elements that is adapted to the free surface and to the main internal discontinuities of the model. The wavefield on the elements is discretized using high-degree Lagrange interpolants, and integration over an element is accomplished based upon the Gauss-Lobatto-Legendre integration rule. This combination of discretization and integration results in a diagonal mass matrix, which greatly simplifies the algorithm. We illustrate the great potential of the method by comparing it to a discrete wavenumber/reflectivity method for layer-cake models. Both body and surface waves are accurately represented, and the method can handle point force as well as moment tensor sources. For a model with very steep surface topography we successfully benchmark the method against an approximate boundary technique. For a homogeneous medium with strong attenuation we obtain excellent agreement with the analytical solution for a point force.","1999-12-01","2024-07-15 19:40:05","2024-07-15 19:40:05","2024-07-15 19:40:05","806-822","","3","139","","Geophysical Journal International","","","","","","","","","","","","","Silverchair","","","","C:\Users\orincon\Zotero\storage\TAGS6BTV\Komatitsch y Tromp - 1999 - Introduction to the spectral element method for th.pdf; C:\Users\orincon\Zotero\storage\L3JEBIKT\587264.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NCNUAFYG","bookSection","2007","Chaljub, Emmanuel; Komatitsch, Dimitri; Vilotte, Jean-Pierre; Capdeville, Yann; Valette, Bernard; Festa, Gaetano","Spectral-element analysis in seismology","Advances in Geophysics","","","","https://www.sciencedirect.com/science/article/pii/S0065268706480079","We present a review of the application of the spectral-element method to regional and global seismology. This technique is a high-order variational method that allows one to compute accurate synthetic seismograms in three-dimensional heterogeneous Earth models with deformed geometry. We first recall the strong and weak forms of the seismic wave equation with a particular emphasis set on fluid regions. We then discuss in detail how the conditions that hold on the boundaries, including coupling boundaries, are honored. We briefly outline the spectral-element discretization procedure and present the time-marching algorithm that makes use of the diagonal structure of the mass matrix. We show examples that illustrate the capabilities of the method and its interest in the context of the computation of three-dimensional synthetic seismograms.","2007-01-01","2024-07-17 19:54:03","2024-07-17 19:54:03","2024-07-17 19:54:03","365-419","","","48","","","","Advances in Wave Propagation in Heterogenous Earth","","","","Elsevier","","","","","","","ScienceDirect","","DOI: 10.1016/S0065-2687(06)48007-9","","C:\Users\orincon\Zotero\storage\8JMJKGFF\S0065268706480079.html","","","DtN operator; Elastodynamics; Global seismology; Numerical modeling; Perfectly Matched Layers; Potential formulation; Regional seismology; Self-gravitation; Spectral-element method; Surface waves; Synthetic seismograms; Topography","Wu, Ru-Shan; Maupin, Valerie; Dmowska, Renata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
