"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"MWXSYQT8","journalArticle","2023","Liu, Siqin; Zhou, Zhusheng; Zeng, Weizu","Simulation of Elastic Wave Propagation Based on Meshless Generalized Finite Difference Method with Uniform Random Nodes and Damping Boundary Condition","Applied Sciences (Switzerland)","","","10.3390/app13031312","","When the grid-based finite difference (FD) method is used for elastic wavefield forward modeling, it is inevitable that the grid divisions will be inconsistent with the actual velocity interface, resulting in problems related to the stepped grid diffraction and inaccurate travel time of reflected waves. The generalized finite difference method (GFDM), which is based on the Taylor series expansion and weighted least square fitting, solves these problems. The partial derivative of the unknown parameters in the differential equation is represented by the linear combination of the function values of adjacent nodes. In this study, the Poisson disk node generation algorithm and the centroid Voronoi node adjustment algorithm were combined to obtain an even and random node distribution. The generated nodes fit the internal boundary more accurately for model discretization, without the presence of diffracted waves caused by the stepped grid. To avoid the instability caused by the introduction of boundary conditions, a Cerjan damping boundary condition was proposed for boundary reflection processing. The test results generated by the different models showed that the generalized finite difference method can effectively solve the problems related to inaccurate travel time of reflection waves and stepped grid diffraction.","2023-02","2024-01-28 01:49:36","2024-02-08 18:53:24","","","","3","13","","","","","","","","","","English","","","","","","","Publisher: MDPI","","C:\Users\orincon\Zotero\storage\BCTSY2MD\Liu et al. - 2023 - Simulation of Elastic Wave Propagation Based on Me.pdf","","centroid Voronoi; Cerjan damping boundary condition; Elastic wave modeling; finite diference method; generalized finite difference method (GFDM)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SJ4TKLIB","book","2014","Moczo, Peter; Kristek, Jozef; Gális, Martin","The Finite-Difference Modelling of Earthquake Motions : Waves and Ruptures","","978-1-107-02881-4","","","","Among all the numerical methods in seismology, the finite-difference (FD) technique provides the best balance of accuracy and computational efficiency. This book offers a comprehensive introduction to FD and its applications to earthquake motion. Using a systematic tutorial approach, the book requires only undergraduate degree-level mathematics and provides a user-friendly explanation of the relevant theory. It explains FD schemes for solving wave equations and elastodynamic equations of motion in heterogeneous media, and provides an introduction to the rheology of viscoelastic and elastoplastic media. It also presents an advanced FD time-domain method for efficient numerical simulations of earthquake ground motion in realistic complex models of local surface sedimentary structures. Accompanied by a suite of online resources to help put the theory into practice, this is a vital resource for professionals and academic researchers using numerical seismological techniques, and graduate students in earthquake seismology, computational and numerical modelling, and applied mathematics. A systematic tutorial introduction to the finite-difference (FD) numerical modelling technique for professionals, academic researchers, and graduate students in seismology. Cover; Half title; Epigraph; Title; Copyright; Dedication; Contents; Acknowledgements; Selected symbols; Abbreviations; Mathematical notation; Greek symbols; Latin symbols; 1 Introduction; Part I Mathematical-physical model; 2 Basic mathematical-physical model; 2.1 Medium; 2.2 Governing equation: equation of motion; 2.2.1 Strong form; 2.2.2 Weak form; 2.2.3 Integral strong form; 2.2.4 Concluding remark; 2.3 Constitutive law: stress-strain relation; 2.3.1 Elastic continuum; 2.3.2 Viscoelastic continuum; 2.4 Strong-form formulations of equations; 2.4.1 Displacement-stress formulation 2.4.2 Displacement formulation2.4.3 Displacement-velocity-stress formulation; 2.4.4 Velocity-stress formulation; 2.5 Boundary conditions; 2.5.1 Free surface; 2.5.2 Welded material interface; 2.6 Initial conditions; 2.7 Wavefield source (wavefield excitation); 3 Rheological models of a continuum; 3.1 Basic rheological models; 3.1.1 Hooke elastic solid; 3.1.2 Newton viscous liquid; 3.1.3 Saint-Venant plastic solid; 3.2 Combined rheological models; 3.3 Viscoelastic continuum and its rheological models; 3.3.1 Stress-strain and strain-stress relations in a viscoelastic continuum 3.3.1.1 Preliminary considerations3.3.1.2 General theory in 1D; 3.3.2 Maxwell and Kelvin-Voigt bodies; 3.3.3 Zener body (standard linear solid); 3.3.4 Phase velocity in elastic and viscoelastic continua; 3.3.5 Measure of dissipation and attenuation in a viscoelastic continuum; 3.3.6 Attenuation in a Zener body; 3.3.7 Generalized Zener body (GZB); 3.3.8 Generalized Maxwell body (GMB-EK); 3.3.9 Equivalence of GZB and GMB-EK; 3.3.10 Anelastic functions (memory variables); 3.3.11 Anelastic coefficients and unrelaxed modulus; 3.3.12 Attenuation and phase velocity in GMB-EK/GZB continuum 3.3.13 Stress-strain relation in 3D3.4 Elastoplastic continuum; 3.4.1 Simplest elastoplastic bodies; 3.4.2 Iwan elastoplastic model for hysteretic stress-strain behaviour; 3.4.2.1 Preliminary considerations; 3.4.2.2 Iwan model; 3.4.2.3 Iwan model and Masing rules; 3.4.2.4 Determination of parameters for Iwan model; 3.4.2.5 Note on damping; 3.4.2.6 Concluding remark; 4 Earthquake source; 4.1 Dynamic model of an earthquake source; 4.1.1 Boundary conditions for dynamic shear faulting; 4.1.2 Friction law; 4.1.2.1 Linear slip-weakening friction law; 4.1.2.2 Rate- and state-dependent friction law 4.2 Kinematic model of an earthquake source4.2.1 Point source; 4.2.2 Finite-fault kinematic source; Part II The finite-difference method; 5 Time-domain numerical methods; 5.1 Introduction; 5.2 Fourier pseudo-spectral method; 5.3 Spectral element method; 5.4 Spectral discontinuous Galerkin scheme with ADER time integration; 5.5 Hybrid methods; 6 Brief introduction to the finite-difference method; 6.1 Space-time grids; 6.1.1 Cartesian grid; 6.1.2 Uniform, nonuniform and discontinuous grids; 6.1.3 Structured and unstructured grids; 6.1.4 Space-time locations of field variables","2014","2024-01-30 23:04:35","2024-01-30 23:04:35","","","365","","","","","","","","","","","","","","","","","","","Pages: 365","","C:\Users\orincon\Zotero\storage\36L53NU5\Moczo et al. - 2014 - The Finite-Difference Modelling of Earthquake Moti.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YQK743HE","journalArticle","1993","Saloma, Caesar","Computational complexity and the observation of physical signals","Journal of Applied Physics","","0021-8979","10.1063/1.354232","https://doi.org/10.1063/1.354232","The effects of computational complexity on the characteristics of a physical signal that is reconstructed from its representation of sampled data are analyzed. It is found that a more complex algorithm does not only require longer time to implement, but also yields an erroneous reconstruction. The reconstruction suffers from contrast degradation, phase shifts, and attenuation of details relative to the true signal. These unwanted effects are caused by the existence of spurious frequencies in the computed spectrum due to rounding‐off errors. The amplitude distribution of the spurious frequencies across the spectral bandwidth strongly depends on the number of data points handled and on the complexity of the particular reconstruction algorithm employed. Since the floating point representation of numbers in a computer is always finite, an upper limit exists in the maximum number of additions or multiplications required to compute a quantity reliably without errors.","1993-11-01","2024-07-09 17:47:34","2024-07-09 17:47:34","2024-07-09 17:47:34","5314-5319","","9","74","","Journal of Applied Physics","","","","","","","","","","","","","Silverchair","","","","C:\Users\orincon\Zotero\storage\5SM3QLMS\Computational-complexity-and-the-observation-of.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JT8SJEF9","journalArticle","1991","Hornik, Kurt","Approximation capabilities of multilayer feedforward networks","Neural Networks","","0893-6080","10.1016/0893-6080(91)90009-T","https://www.sciencedirect.com/science/article/pii/089360809190009T","We show that standard multilayer feedforward networks with as few as a single hidden layer and arbitrary bounded and nonconstant activation function are universal approximators with respect to Lp(μ) performance criteria, for arbitrary finite input environment measures μ, provided only that sufficiently many hidden units are available. If the activation function is continuous, bounded and nonconstant, then continuous mappings can be learned uniformly over compact input sets. We also give very general conditions ensuring that networks with sufficiently smooth activation functions are capable of arbitrarily accurate approximation to a function and its derivatives.","1991-01-01","2024-07-15 16:20:04","2024-07-15 16:20:04","2024-07-15 16:20:04","251-257","","2","4","","Neural Networks","","","","","","","","","","","","","ScienceDirect","","","","C:\Users\orincon\Zotero\storage\N6SMNISY\089360809190009T.html","","","() approximation; Activation function; Input environment measure; Multilayer feedforward networks; Smooth approximation; Sobolev spaces; Uniform approximation; Universal approximation capabilities","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KPLU4TZJ","journalArticle","1976","Madariaga, Raul","Dynamics of an expanding circular fault","Bulletin of the Seismological Society of America","","0037-1106","10.1785/BSSA0660030639","https://doi.org/10.1785/BSSA0660030639","We study a plane circular model of a frictional fault using numerical methods. The model is dynamic since we specify the effective stress at the fault. In one model we assume that the fault appears instantaneously in the medium; in another, that the rupture nucleates at the center and that rupture proceeds at constant subsonic velocity until it suddenly stops. The total source slip is larger at the center and the rise time is also longer at the center of the fault. The dynamic slip overshoots the static slip by 15 to 35 per cent. As a consequence, the stress drop is larger than the effective stress and the apparent stress is less than one half the effective stress.The far-field radiation is discussed in detail. We distinguish three spectral regions. First, the usual constant low-frequency level. Second, an intermediate region controlled by the fault size and, finally, the high-frequency asymptote. The central region includes the corner frequency and is quite complicated. The corner frequency is shown to be inversely proportional to the width of the far-field displacement pulse which, in turn, is related to the time lag between the stopping phases. The average corner frequency of S waves v0s is related to the final source radius, a, by v0s = 0.21 β/α. The corner frequency of P waves is larger than v0s by an average factor of 1.5.","1976-06-01","2024-07-23 00:11:59","2024-07-23 00:11:59","2024-02-20 00:27:46","639-666","","3","66","","Bulletin of the Seismological Society of America","","","","","","","","","","","","","Silverchair","","","","C:\Users\orincon\Zotero\storage\JQBTZHXY\Dynamics-of-an-expanding-circular-fault.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HWWT4QEG","report","1986","Virieux, Jean","p-sv wave propagation in heterogeneous media: Velocity-stress finite-difference method","","","","","http://library.seg.org/","","1986","2024-07-23 00:13:52","2024-07-23 00:13:52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3P844IQA","journalArticle","2021","Zhou, Hongyu; Liu, Yang; Wang, Jing","Acoustic finite-difference modeling beyond conventi-onal Courant-Friedrichs-Lewy stability limit: Approach based on variable-length temporal and spatial operators","Earthquake Science","","","10.29382/eqs-2021","","","2021","2024-07-23 00:14:33","2024-07-23 00:14:33","","123-236","","","34","","","","","","","","","","","","","","","","","","","","","acoustic wave equation; Courant-Friedrichs-Lewy numbers; finite-difference; stability condition; vari-able length","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YT752IG2","book","2017","Langtangen, Hans Petter; Logg, Anders","Solving PDEs in Python: The FEniCS Tutorial I","","978-3-319-52462-7","","","","This book offers a concise and gentle introduction to finite element programming in Python based on the popular FEniCS software library. Using a series of examples, including the Poisson equation, the equations of linear elasticity, the incompressible Navier–Stokes equations, and systems of nonlinear advection–diffusion–reaction equations, it guides readers through the essential steps to quickly solving a PDE in FEniCS, such as how to define a finite variational problem, how to set boundary conditions, how to solve linear and nonlinear systems, and how to visualize solutions and structure finite element Python programs.This book is open access under a CC BY license.","2017-03-21","2024-07-23 00:16:52","2024-07-23 00:16:52","","","152","","","","","Solving PDEs in Python","","","","","Springer","","en","","","","","Google Books","","Google-Books-ID: JtpCDwAAQBAJ","","","https://www.google.com.co/books?id=JtpCDwAAQBAJ","","Computers / Computer Science; Computers / General; Computers / Mathematical & Statistical Software; Computers / Programming / Algorithms; Computers / Software Development & Engineering / General; Mathematics / Applied; Mathematics / Combinatorics; Mathematics / Graphic Methods; Mathematics / Number Systems; Mathematics / Numerical Analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E69P7ZMM","computerProgram","2023","Komatitsch, Dimitri; Tromp, Jeroen; Gharti, Hom Nath; Peter, Daniel; Cano, Eduardo Valero; Bachmann, Etienne; Bottero, Alexis; Brissaud, Quentin; Chow, Bryant; Cristini, Paul; Cui, Congyue; Gassmoeller, Rene; Gineste, Michael; Halpaap, Felix; Heien, Eric; Labarta, Jesus; Lefebvre, Matthieu; Goff, Nicolas Le; Loher, Pieyre Le; Liu, Qiancheng; Liu, Qinya; Liu, Youshan; Liu, Zhaolun; Luet, David; Martin, Roland; Matzen, Rene; Modrak, Ryan; Morency, Christina; Nagaso, Masaru; Rosenkrantz, Eric; Rusmanugroho, Herurisa; Andrade, Elliott Sales de; Tape, Carl; Vilotte, Jean-Pierre; Xie, Zhinan; Zhang, Zhendong","SPECFEM/specfem2d: SPECFEM2D v8.1.0","","","","","https://zenodo.org/records/10415228","New in SPECFEM2D v8.1.0: adds support for Q values in tomographic models updates GPU support, OpenMP and test workflows various code updates and improvements (noise simulations) with many thanks for your contributions to this version: Hom Nath Gharti, Daniel Peter, Eduardo Valero Cano","2023-12-20","2024-07-23 00:25:10","2024-07-23 00:25:10","2024-07-23 00:25:10","","","","","","","SPECFEM/specfem2d","","","","","Zenodo","","","","","","","Zenodo","","DOI: 10.5281/zenodo.10415228","","C:\Users\orincon\Zotero\storage\L5BQ2HF8\10415228.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v8.1.0","","","","","","","",""
"J7JGRSEG","computerProgram","2024","Komatitsch, Dimitri; Tromp, Jeroen; Garg, Rahul; Gharti, Hom Nath; Nagaso, Masaru; Oral, Elif; Peter, Daniel; Afanasiev, Michael; Almada, Rafael; Ampuero, Jean-Paul; Bachmann, Etienne; Bai, Kangchen; Basini, Piero; Beller, Stephen; Bishop, Jordan; Bissey, Francois; Blitz, Celine; Bottero, Alexis; Bozdag, Ebru; Casarotti, Emanuele; Charles, Joseph; Chen, Min; Cristini, Paul; Durochat, Clement; Galvez Barron, Percy; Gassmoeller, Rene; Goeddeke, Dominik; Grinberg, Leopold; Gupta, Aakash; Heien, Eric; Hjoerleifsdottir, Vala; Karakostas, Foivos; Kientz, Sue; Labarta, Jesus; Le Goff, Nicolas; Le Loher, Pieyre; Lefebvre, Matthieu; Liu, Qinya; Liu, Youshan; Luet, David; Luo, Yang; Maggi, Alessia; Magnoni, Federica; Martin, Roland; Matzen, Rene; McBain, G. D.; McRitchie, Dennis; Meschede, Matthias; Messmer, Peter; Michea, David; Miller, David; Modrak, Ryan; Monteiller, Vadim; Morency, Christina; Nadh Somala, Surendra; Nissen-Meyer, Tarje; Pouget, Kevin; Rietmann, Max; Sales de Andrade, Elliott; Savage, Brian; Schuberth, Bernhard; Sieminski, Anne; Smith, James; Strand, Leif; Tape, Carl; Valero Cano, Eduardo; Videau, Brice; Vilotte, Jean-Pierre; Weng, Huihui; Xie, Zhinan; Zhang, Chang-Hua; Zhu, Hejun","SPECFEM/specfem3d: SPECFEM3D v4.1.1","","","","","https://zenodo.org/records/10823181","this is mainly a bug fix release adds Brune STF adds power-law slip weakening friction law many thanks for your contributions to this version: Hom Nath Gharti, Daniel Peter, Huihui Weng","2024-03-15","2024-07-23 00:25:17","2024-07-23 00:25:17","2024-07-23 00:25:17","","","","","","","SPECFEM/specfem3d","","","","","Zenodo","","","","","","","Zenodo","","DOI: 10.5281/zenodo.10823181","","C:\Users\orincon\Zotero\storage\G6MLH3UQ\10823181.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v4.1.1","","","","","","","",""
